,Unnamed: 0,text,intent
0,0,summarize this audio file,voice_summary
1,1,what is this audio clip about,voice_summary
2,2,can you give a summary of the voice recording,voice_summary
3,3,tell me the gist of this audio,voice_summary
4,4,provide a brief summary of the audio content,voice_summary
5,5,summarize the speech i just uploaded,voice_summary
6,6,what are the main points in this recording,voice_summary
7,7,can you break down this audio for me,voice_summary
8,8,give a short overview of the voice note,voice_summary
9,9,extract the summary from this sound file,voice_summary
10,10,i want a brief idea of what this audio says,voice_summary
11,11,what does this audio recording discuss,voice_summary
12,12,could you summarize this voice clip,voice_summary
13,13,tell me the main idea from this audio file,voice_summary
14,14,give me the key points from the voice note,voice_summary
15,15,please provide a concise summary of this audio,voice_summary
16,16,what is the content of this recording,voice_summary
17,17,summarize what is said in this voice recording,voice_summary
18,18,give me a quick rundown of this audio,voice_summary
19,19,break down the main topics from this speech,voice_summary
20,20,tell me what this audio is about in short,voice_summary
21,21,can you capture the summary of this sound clip,voice_summary
22,22,i need a summary for the voice recording,voice_summary
23,23,what are the highlights of this audio,voice_summary
24,24,provide a brief recap of the audio content,voice_summary
25,25,can you tell me the gist of this voice note,voice_summary
26,26,summarize the content of this speech recording,voice_summary
27,27,give a brief overview of the sound recording,voice_summary
28,28,what is being discussed in this audio clip,voice_summary
29,29,can you explain what this audio file says in brief,voice_summary
30,30,summarize this audio file,voice_summary
31,31,what is this audio clip about,voice_summary
32,32,can you give a summary of the voice recording,voice_summary
33,33,tell me the gist of this audio,voice_summary
34,34,provide a brief summary of the audio content,voice_summary
35,35,summarize the speech i just uploaded,voice_summary
36,36,what are the main points in this recording,voice_summary
37,37,can you break down this audio for me,voice_summary
38,38,give a short overview of the voice note,voice_summary
39,39,extract the summary from this sound file,voice_summary
40,40,i want a brief idea of what this audio says,voice_summary
41,41,whats the core message in this audio,voice_summary
42,42,can you tell me whats being discussed in this voice clip,voice_summary
43,43,just give me a quick audio summary,voice_summary
44,44,whats the topic of this voice message,voice_summary
45,45,summarize the contents of this voice file,voice_summary
46,46,please summarize whats spoken in this audio,voice_summary
47,47,give me a short summary of this voice memo,voice_summary
48,48,tell me briefly what this voice clip is saying,voice_summary
49,49,what is discussed in this audio file,voice_summary
50,50,please summarize this voice note,voice_summary
51,51,whats the overall message in this audio,voice_summary
52,52,give me a breakdown of this recording,voice_summary
53,53,can you highlight the important points in this audio,voice_summary
54,54,summarize the conversation in this clip,voice_summary
55,55,what does the speaker talk about here,voice_summary
56,56,what is the takeaway from this voice message,voice_summary
57,57,can i get a short explanation of this audio,voice_summary
58,58,summarize the audio in a few sentences,voice_summary
59,59,tell me what was said in this voice recording,voice_summary
60,60,whats this sound file trying to convey,voice_summary
61,61,give me the essence of this voice note,voice_summary
62,62,extract and summarize the core message,voice_summary
63,63,id like a brief summary of this voice clip,voice_summary
64,64,can you explain what this person is saying,voice_summary
65,65,please provide the key takeaways from the audio,voice_summary
66,66,give me a recap of this audio file,voice_summary
67,67,whats the summary of the recording,voice_summary
68,68,break this voice clip down into key points,voice_summary
69,69,summarize the information in this voice message,voice_summary
70,70,tell me briefly what this audio contains,voice_summary
71,71,whats being talked about in this voice recording,voice_summary
72,72,can you help me understand this audio in a few words,voice_summary
73,73,capture the summary from this audio note,voice_summary
74,74,give me a quick idea of what this person said,voice_summary
75,75,summarize what the speaker is saying,voice_summary
76,76,what does the audio talk about,voice_summary
77,77,provide a summary of the voice file contents,voice_summary
78,78,explain what is being discussed in the audio,voice_summary
79,79,give a short summary of what this recording says,voice_summary
80,80,could you tell me what this audio is saying,voice_summary
81,81,whats this recording all about,voice_summary
82,82,just give me the highlights from this voice note,voice_summary
83,83,quick summary of this voice file please,voice_summary
84,84,tell me the important stuff from this audio,voice_summary
85,85,break down the content of this voice recording,voice_summary
86,86,help me understand the voice clip,voice_summary
87,87,can you extract the key message here,voice_summary
88,88,in short whats being said in the audio,voice_summary
89,89,summarize the message in this clip,voice_summary
90,90,give me the main message from this sound clip,voice_summary
91,91,i want a short version of this voice message,voice_summary
92,92,just the summary from this audio please,voice_summary
