,text,intent,clean_text
0,I'd love to hear this read out loud,convert_to_audio,id love to hear this read out loud
1,Could you turn this script into an audio file?,convert_to_audio,could you turn this script into an audio file
2,Please make this sentence audible,convert_to_audio,please make this sentence audible
3,Transform these lines into voice format,convert_to_audio,transform these lines into voice format
4,Produce an MP3 from this message,convert_to_audio,produce an mp3 from this message
5,Is it possible to vocalize this content?,convert_to_audio,is it possible to vocalize this content
6,Say these words out loud,convert_to_audio,say these words out loud
7,Turn the following into an audio clip,convert_to_audio,turn the following into an audio clip
8,I’d appreciate a voice version of this,convert_to_audio,id appreciate a voice version of this
9,Generate a sound file of this,convert_to_audio,generate a sound file of this
10,Convert the note below into speech,convert_to_audio,convert the note below into speech
11,"Speak this for me, please",convert_to_audio,speak this for me please
12,Give me a narrated version of this content,convert_to_audio,give me a narrated version of this content
13,Please render this paragraph into voice,convert_to_audio,please render this paragraph into voice
14,Make a recording of this content,convert_to_audio,make a recording of this content
15,How does this sound when spoken?,convert_to_audio,how does this sound when spoken
16,Can you output this as an MP3?,convert_to_audio,can you output this as an mp3
17,Speak this document out loud,convert_to_audio,speak this document out loud
18,Create a podcast version of this text,convert_to_audio,create a podcast version of this text
19,I'd like to listen to this in spoken form,convert_to_audio,id like to listen to this in spoken form
20,Convert my notes into a voice memo,convert_to_audio,convert my notes into a voice memo
21,Can this text be transformed into audio?,convert_to_audio,can this text be transformed into audio
22,Give me a voice-over version of this note,convert_to_audio,give me a voiceover version of this note
23,I need to hear this out loud,convert_to_audio,i need to hear this out loud
24,Audioify this content,convert_to_audio,audioify this content
25,Please give me a voice representation of this,convert_to_audio,please give me a voice representation of this
26,Create a verbal output for this,convert_to_audio,create a verbal output for this
27,Play the spoken version of these lines,convert_to_audio,play the spoken version of these lines
28,I'd like a read-aloud of this,convert_to_audio,id like a readaloud of this
29,Vocalize these sentences for me,convert_to_audio,vocalize these sentences for me
30,Turn this paragraph into speech format,convert_to_audio,turn this paragraph into speech format
31,Make a podcast reading of this note,convert_to_audio,make a podcast reading of this note
32,Give this note a voice,convert_to_audio,give this note a voice
33,Turn the content into an audible clip,convert_to_audio,turn the content into an audible clip
34,Read this script in a podcast style,convert_to_audio,read this script in a podcast style
35,I'd like an audio narration of this paragraph,convert_to_audio,id like an audio narration of this paragraph
36,Please convert this article to sound,convert_to_audio,please convert this article to sound
37,Convert the following sentence into audio output,convert_to_audio,convert the following sentence into audio output
38,Let me hear what this text sounds like,convert_to_audio,let me hear what this text sounds like
39,Read this in your voice,convert_to_audio,read this in your voice
40,Speak out the paragraph below,convert_to_audio,speak out the paragraph below
41,Please convert my document into a voice file,convert_to_audio,please convert my document into a voice file
42,I want to listen to these sentences,convert_to_audio,i want to listen to these sentences
43,Please provide an audio narration,convert_to_audio,please provide an audio narration
44,Turn this into speech audio format,convert_to_audio,turn this into speech audio format
45,Read out my writing in voice,convert_to_audio,read out my writing in voice
46,Audio playback required for this content,convert_to_audio,audio playback required for this content
47,Give an oral version of this file,convert_to_audio,give an oral version of this file
48,Speak this section like a narrator would,convert_to_audio,speak this section like a narrator would
49,Let me hear how this reads,convert_to_audio,let me hear how this reads
50,I want an audible playback of these notes,convert_to_audio,i want an audible playback of these notes
51,Can you sound this paragraph?,convert_to_audio,can you sound this paragraph
52,Convert and vocalize this script,convert_to_audio,convert and vocalize this script
