text,intent
What do people think about this phone on Flipkart?,analyse_product_sentiment
Can you analyze reviews for the Samsung Galaxy S21?,analyse_product_sentiment
Tell me if users like this washing machine,analyse_product_sentiment
What’s the public opinion on this air fryer?,analyse_product_sentiment
Give me the sentiment summary of this product,analyse_product_sentiment
Are customers satisfied with this laptop?,analyse_product_sentiment
Analyze Flipkart reviews for the iPhone 13,analyse_product_sentiment
Summarize customer feedback for this smartwatch,analyse_product_sentiment
Do buyers recommend this refrigerator?,analyse_product_sentiment
How’s the review sentiment for this product?,analyse_product_sentiment
What are people saying about this DSLR?,analyse_product_sentiment
Review the sentiment for these headphones,analyse_product_sentiment
Check if this product has good reviews,analyse_product_sentiment
Sentiment analysis of Flipkart ratings for this item,analyse_product_sentiment
Go through user reviews and tell me the sentiment,analyse_product_sentiment
Can you check how customers feel about this tablet?,analyse_product_sentiment
Is this vacuum cleaner getting positive reviews?,analyse_product_sentiment
Analyze the ratings and feedback for this product,analyse_product_sentiment
How are people rating this mobile?,analyse_product_sentiment
Tell me the general opinion about this microwave,analyse_product_sentiment
Are the reviews for this smartwatch mostly positive or negative?,analyse_product_sentiment
Give me a quick sentiment analysis for this product,analyse_product_sentiment
What do customers think about this LED TV?,analyse_product_sentiment
Check user sentiment on this Bluetooth speaker,analyse_product_sentiment
What kind of feedback is this fitness band getting?,analyse_product_sentiment
Summarize the customer sentiment from reviews,analyse_product_sentiment
Look at the reviews and tell me if this AC is good,analyse_product_sentiment
Do users like this mixer grinder according to reviews?,analyse_product_sentiment
Check the overall mood of the reviews for this product,analyse_product_sentiment
Tell me how people are reacting to this smart TV,analyse_product_sentiment
"Based on reviews, is this device well-received?",analyse_product_sentiment
Are buyers happy with this printer?,analyse_product_sentiment
Give me a review sentiment breakdown for this item,analyse_product_sentiment
What’s the customer sentiment on this kitchen appliance?,analyse_product_sentiment
Do reviews show that this device is worth buying?,analyse_product_sentiment
Can you tell if people are happy with this smart bulb?,analyse_product_sentiment
Find out the review tone for this noise-cancelling headphones,analyse_product_sentiment
Tell me if users like this smart scale,analyse_product_sentiment
Tell me if users like this router,analyse_product_sentiment
Look up the reviews and tell me if people like this eBook reader,analyse_product_sentiment
Check what most people are saying about this USB hub,analyse_product_sentiment
Can you evaluate the review sentiment of this vacuum cleaner?,analyse_product_sentiment
Sentiment analysis of Flipkart ratings for this electric scooter,analyse_product_sentiment
Is this microwave getting good feedback?,analyse_product_sentiment
Can you list the main points people like or dislike in this smart scale?,analyse_product_sentiment
Is this Bluetooth headset getting mostly positive reviews?,analyse_product_sentiment
Analyze if this Bluetooth speaker is mostly liked or disliked,analyse_product_sentiment
Give me the average opinion from Flipkart reviews for this robot vacuum,analyse_product_sentiment
Summarize the Flipkart user opinions for this projector,analyse_product_sentiment
Check how users have rated this steam iron,analyse_product_sentiment
Analyze what users are saying about this portable SSD,analyse_product_sentiment
Fetch sentiment insights about this laptop cooling pad from Flipkart,analyse_product_sentiment
Analyze what users are saying about this hair straightener,analyse_product_sentiment
Analyze Flipkart reviews for the portable SSD,analyse_product_sentiment
How’s the online buzz around this juicer?,analyse_product_sentiment
Fetch the reviews and give me a sentiment overview of this electric shaver,analyse_product_sentiment
Check public feedback and rate this washing machine,analyse_product_sentiment
Can you give a summary of ratings for this tripod stand?,analyse_product_sentiment
