,text,intent
0,what is the sentiment of apple stock,stock_sentiment
1,tell me if tesla is going up or down,stock_sentiment
2,analyze the stock sentiment for microsoft,stock_sentiment
3,is amazon stock bullish or bearish,stock_sentiment
4,how is the market feeling about nvidia,stock_sentiment
5,give me the current sentiment for google stock,stock_sentiment
6,whats the investor sentiment on facebook shares,stock_sentiment
7,are investors positive or negative on netflix stock,stock_sentiment
8,check the sentiment for intel stock,stock_sentiment
9,how are people reacting to twitter shares,stock_sentiment
10,is the market optimistic about amd stock,stock_sentiment
11,tell me if apple shares are trending up or down,stock_sentiment
12,whats the mood around tesla stock today,stock_sentiment
13,is the sentiment bullish for microsoft right now,stock_sentiment
14,are amazon shares expected to rise,stock_sentiment
15,analyze how investors feel about nvidia stock,stock_sentiment
16,whats the overall sentiment for google today,stock_sentiment
17,is facebook stock considered risky currently,stock_sentiment
18,how do traders feel about netflix shares,stock_sentiment
19,check if intel stock is under positive sentiment,stock_sentiment
20,are investors optimistic about twitters stock,stock_sentiment
21,whats the latest sentiment on amd shares,stock_sentiment
22,tell me if apples stock is gaining positive buzz,stock_sentiment
23,whats the current trend for tesla stock,stock_sentiment
24,are microsoft shares seeing positive sentiment,stock_sentiment
25,is amazon stock getting good reviews from traders,stock_sentiment
26,how is the market sentiment for nvidia stocks,stock_sentiment
27,give me sentiment analysis for google stock,stock_sentiment
28,are investors confident in facebook shares,stock_sentiment
29,check the public sentiment for netflix stock,stock_sentiment
30,is intel stock showing positive signs,stock_sentiment
31,how are twitter shares perceived by traders,stock_sentiment
32,is the amd stock sentiment bullish or bearish,stock_sentiment
33,whats the investor sentiment for apple today,stock_sentiment
34,are traders optimistic about tesla stock,stock_sentiment
35,is microsoft stock trending positively,stock_sentiment
36,tell me if amazon shares have a positive outlook,stock_sentiment
37,analyze nvidias stock sentiment from recent news,stock_sentiment
38,whats the general market sentiment on google stock,stock_sentiment
39,are facebook shares viewed positively right now,stock_sentiment
40,how do investors feel about netflix stock recently,stock_sentiment
41,check the sentiment for intel shares today,stock_sentiment
42,is twitters stock sentiment favorable,stock_sentiment
43,are amd stocks in a bullish mood,stock_sentiment
44,whats the public opinion on apple stock,stock_sentiment
45,tell me if tesla shares are favored by investors,stock_sentiment
46,how is the sentiment on microsoft shares,stock_sentiment
47,is amazon stock viewed as bullish currently,stock_sentiment
48,analyze market sentiment for nvidia shares,stock_sentiment
49,whats the trend for google stock sentiment,stock_sentiment
50,are facebook shares considered stable by traders,stock_sentiment
51,how do investors perceive netflix stock right now,stock_sentiment
52,check if intel shares are in positive sentiment,stock_sentiment
53,is twitter stock sentiment trending upward,stock_sentiment
54,are amd stocks gaining positive feedback,stock_sentiment
55,whats the overall feeling about apple stock,stock_sentiment
56,are tesla shares gaining positive momentum,stock_sentiment
57,tell me if microsoft stock is bullish or bearish,stock_sentiment
58,is amazon shares sentiment positive today,stock_sentiment
59,analyze nvidia stock sentiment from social media,stock_sentiment
60,whats the public sentiment for google shares,stock_sentiment
61,are facebook shares seeing increased investor confidence,stock_sentiment
62,how is netflix stock sentiment trending,stock_sentiment
63,check if intel stock is receiving positive feedback,stock_sentiment
64,is twitter stock sentiment positive or negative,stock_sentiment
65,are amd shares trending bullish currently,stock_sentiment
66,whats the investor mood around apple stock,stock_sentiment
67,are tesla shares favored in todays market,stock_sentiment
68,how is the sentiment on microsoft stock evolving,stock_sentiment
69,is amazon stock considered bullish right now,stock_sentiment
70,analyze nvidias stock sentiment from recent trends,stock_sentiment
71,whats the general sentiment for google shares,stock_sentiment
72,are facebook stocks viewed positively by investors,stock_sentiment
73,how do traders feel about netflix stock today,stock_sentiment
74,check the sentiment trend for intel shares,stock_sentiment
75,is twitter stock sentiment improving,stock_sentiment
76,are amd shares receiving positive market sentiment,stock_sentiment
77,whats the overall sentiment on apple shares,stock_sentiment
78,are tesla shares trending up in sentiment,stock_sentiment
79,tell me if microsoft stock sentiment is positive,stock_sentiment
80,is amazon stock sentiment bullish or bearish,stock_sentiment
81,analyze nvidia stock sentiment from latest news,stock_sentiment
82,whats the market sentiment for google shares,stock_sentiment
83,are facebook shares seen as good investments now,stock_sentiment
84,how is netflix stock sentiment trending lately,stock_sentiment
85,check if intel shares have positive investor sentiment,stock_sentiment
86,is twitter stock sentiment currently positive,stock_sentiment
87,are amd shares favored by investors recently,stock_sentiment
88,what is the sentiment of reliance industries stock,stock_sentiment
89,tell me if tcs is trending up or down,stock_sentiment
90,analyze the stock sentiment for infosys,stock_sentiment
91,is hdfc bank stock bullish or bearish,stock_sentiment
92,how is the market feeling about icici bank,stock_sentiment
93,give me the current sentiment for larsen toubro stock,stock_sentiment
94,whats the investor sentiment on sbi shares,stock_sentiment
95,are investors positive or negative on bharti airtel stock,stock_sentiment
96,check the sentiment for asian paints stock,stock_sentiment
97,how are people reacting to bajaj finance shares,stock_sentiment
98,is the market optimistic about maruti suzuki stock,stock_sentiment
99,tell me if reliance industries shares are trending up or down,stock_sentiment
100,whats the mood around tcs stock today,stock_sentiment
101,is the sentiment bullish for infosys right now,stock_sentiment
102,are hdfc bank shares expected to rise,stock_sentiment
