text,intent
will it be clear or rainy in rourkela this evening,get_weather
check if its snowing in latur,get_weather
how does the sky look in latur today,get_weather
is it cold in howrah today,get_weather
tell me if thiruvananthapuram is having good weather today,get_weather
should i expect fog in shimoga this morning,get_weather
can you show me hourly temperature updates in begusarai,get_weather
will it be clear or rainy in nainital this evening,get_weather
is there a weather warning in ahmednagar,get_weather
hows the wind chill in dhanbad right now,get_weather
will it be comfortable outside in jamshedpur today,get_weather
is the weather suitable for outdoor activities in haridwar,get_weather
do i need sunglasses in siliguri today,get_weather
will it be comfortable outside in khammam today,get_weather
is it foggy in baramati this morning,get_weather
update me on the weather conditions in tirunelveli,get_weather
will it be windy in alibag today,get_weather
tell me the weather forecast for phaltan,get_weather
how warm is it going to be in mysuru this afternoon,get_weather
tell me the weather forecast for alibag,get_weather
is there a weather warning in chiplun,get_weather
will it be hot in baramati during the day,get_weather
whats the wind speed in lucknow currently,get_weather
how will the weather be around noon in nagpur,get_weather
whats the fiveday forecast for chennai,get_weather
give me the hourly forecast for visakhapatnam,get_weather
should i wear a jacket in mahad today,get_weather
can you get me the latest weather update for hyderabad,get_weather
whats the temperature in raipur currently,get_weather
will it be comfortable outside in nagpur today,get_weather
how will the weather be around noon in howrah,get_weather
is it cold in faridabad today,get_weather
how does the sky look in bilaspur today,get_weather
will the skies be clear in ulhasnagar tonight,get_weather
do i need sunglasses in latur today,get_weather
will it be windy in durgapur today,get_weather
will there be sunshine all day in nandurbar,get_weather
can you show me hourly temperature updates in chennai,get_weather
is there a weather alert in tiruchirappalli right now,get_weather
is saharanpur experiencing a heatwave,get_weather
what are the precipitation levels in dehradun right now,get_weather
check if its snowing in bhopal,get_weather
is it cold in patna today,get_weather
will tiruchirappalli have thunderstorms today,get_weather
whats the high and low temperature in kolhapur today,get_weather
is the weather suitable for outdoor activities in roorkee,get_weather
how will the weather be around noon in bangalore,get_weather
can i expect rain during the weekend in nanded,get_weather
is it cloudy in palghar now,get_weather
should i wear a jacket in boisar today,get_weather
will agartala have thunderstorms today,get_weather
what are the precipitation levels in moradabad right now,get_weather
whats the weather like in boisar,get_weather
hows visibility in agartala right now,get_weather
will the skies be clear in jaipur tonight,get_weather
is raipur under a heat advisory,get_weather
let me know if its raining in delhi,get_weather
do i need an umbrella in tirunelveli,get_weather
is it safe to go for a walk in jabalpur right now,get_weather
do i need to carry a raincoat in beed today,get_weather
get todays forecast summary for guwahati,get_weather
will the skies be clear in bhopal tonight,get_weather
let me know if its raining in pune,get_weather
are there any extreme weather conditions in udaipur today,get_weather
whats the uv index in mumbai today,get_weather
do i need sunglasses in varanasi today,get_weather
will the skies be clear in gwalior tonight,get_weather
whats the chance of rain in hyderabad today,get_weather
check if its snowing in patna,get_weather
hows the weather today in hubbali,get_weather
is there a chance of hail in nashik today,get_weather
is the weather suitable for outdoor activities in ranchi,get_weather
hows visibility in rajkot right now,get_weather
what kind of weather should i expect in parbhani this weekend,get_weather
will there be a storm in coimbatore today,get_weather
will there be a storm in silchar today,get_weather
let me know if its raining in panvel,get_weather
hows the temperature fluctuating today in mahad,get_weather
whats the weather outlook for kudal,get_weather
will it be clear or rainy in jagdalpur this evening,get_weather
hows the air pressure in mumbai currently,get_weather
get todays forecast summary for nandurbar,get_weather
what kind of weather should i expect in ratnagiri this weekend,get_weather
will there be sunshine all day in nainital,get_weather
whats the uv index in dibrugarh today,get_weather
is there a weather alert in erode right now,get_weather
will dehradun have thunderstorms today,get_weather
check if its snowing in solapur,get_weather
is tiruchirappalli under any weather advisory right now,get_weather
will it be windy in moradabad today,get_weather
get me the weather conditions for faridabad,get_weather
should i expect fog in tirunelveli this morning,get_weather
tell me if kochi is having good weather today,get_weather
whats the chance of rain in dehradun today,get_weather
will there be a storm in palghar today,get_weather
check the air quality in nagpur right now,get_weather
whats the chance of rain in udaipur today,get_weather
will it rain in kochi today,get_weather
will the skies be clear in amritsar tonight,get_weather
can you get me the latest weather update for salem,get_weather
get me the weather conditions for tirunelveli,get_weather
check tomorrows forecast for rajkot,get_weather
whats the weather trend in ranchi for the next few days,get_weather
is dibrugarh going to be chilly tomorrow,get_weather
tell me if meerut is having good weather today,get_weather
hows the air pressure in jalgaon currently,get_weather
how humid is it in phaltan today,get_weather
give me the weather report for chennai,get_weather
hows visibility in dhanbad right now,get_weather
tell me the weather for the weekend in chennai,get_weather
should i expect showers later today in phaltan,get_weather
hows the weather shaping up in khammam this week,get_weather
how hot is it in durgapur at the moment,get_weather
give me the weather report for chandrapur,get_weather
are there any extreme weather conditions in udupi today,get_weather
is there a weather alert in darbhanga right now,get_weather
tell me if darbhanga is having good weather today,get_weather
give me the hourly forecast for prayagraj,get_weather
is mumbai experiencing a heatwave,get_weather
tell me the weather for the weekend in kota,get_weather
check the air quality in ambarnath right now,get_weather
tell me the weather forecast for phaltan,get_weather
check the air quality in ranchi right now,get_weather
give me the weather report for jabalpur,get_weather
is it foggy in delhi this morning,get_weather
whats the chance of rain in rourkela today,get_weather
are there any extreme weather conditions in agartala today,get_weather
what will the weather be like in satara tonight,get_weather
is it cloudy in dehradun now,get_weather
tell me the weather for the weekend in faridabad,get_weather
hows the wind chill in ratnagiri right now,get_weather
can you tell me if its raining in virar,get_weather
can i expect rain during the weekend in mumbai,get_weather
how hot is it in nandurbar at the moment,get_weather
hows visibility in thanjavur right now,get_weather
is it foggy in ahmednagar this morning,get_weather
is the weather suitable for outdoor activities in tiruchirappalli,get_weather
is saharanpur under any weather advisory right now,get_weather
is there a chance of hail in ranchi today,get_weather
whats the weather outlook for beed,get_weather
is there a weather warning in nizamabad,get_weather
give me the hourly forecast for wardha,get_weather
is the weather suitable for outdoor activities in muzaffarpur,get_weather
hows the temperature fluctuating today in siliguri,get_weather
is amravati experiencing a heatwave,get_weather
hows the wind chill in imphal right now,get_weather
hows the weather looking for tomorrow in bhubaneswar,get_weather
hows the wind chill in wardha right now,get_weather
tell me the realfeel temperature in hubbali,get_weather
whats the weather trend in yavatmal for the next few days,get_weather
is it safe to travel in ludhiana right now weatherwise,get_weather
do i need to carry a raincoat in satara today,get_weather
check tomorrows forecast for aurangabad,get_weather
tell me the realfeel temperature in ulhasnagar,get_weather
will alibag have thunderstorms today,get_weather
whats the high and low temperature in muzaffarpur today,get_weather
is it safe to go for a walk in sangli right now,get_weather
should i expect snow in faridabad this week,get_weather
do i need to dress warmly in korba today,get_weather
can you tell me if its raining in dhanbad,get_weather
how warm is it going to be in siliguri this afternoon,get_weather
do i need sunglasses in pune today,get_weather
should i wear a jacket in mysuru today,get_weather
should i expect showers later today in shirdi,get_weather
are there any extreme weather conditions in nashik today,get_weather
how will the weather be around noon in rajkot,get_weather
check if its snowing in mysuru,get_weather
tell me the weather forecast for ahmednagar,get_weather
check tomorrows forecast for korba,get_weather
get me the weather conditions for thanjavur,get_weather
whats the wind speed in vadodara currently,get_weather
will there be a storm in begusarai today,get_weather
can you get me the latest weather update for udupi,get_weather
check the air quality in korba right now,get_weather
is it foggy in baramati this morning,get_weather
whats the uv index in meerut today,get_weather
tell me if nashik is having good weather today,get_weather
whats the weather trend in ghaziabad for the next few days,get_weather
tell me the realfeel temperature in dehradun,get_weather
tell me if saharanpur is having good weather today,get_weather
is there a chance of hail in tezpur today,get_weather
how warm is it going to be in gwalior this afternoon,get_weather
whats the wind speed in khammam currently,get_weather
let me know if its raining in dibrugarh,get_weather
give me the forecast for the next few hours in alibag,get_weather
tell me if its overcast in ranchi today,get_weather
whats the chance of rain in osmanabad today,get_weather
hows the temperature fluctuating today in belgaum,get_weather
is there a chance of hail in kota today,get_weather
is it safe to travel in nashik right now weatherwise,get_weather
whats the weather trend in noida for the next few days,get_weather
should i expect fog in vadodara this morning,get_weather
let me know if its raining in ludhiana,get_weather
is gaya going to be chilly tomorrow,get_weather
will it be comfortable outside in panvel today,get_weather
do i need to dress warmly in alibag today,get_weather
whats the chance of rain in jodhpur today,get_weather
will it be hot in parbhani during the day,get_weather
give me the hourly forecast for meerut,get_weather
is dhule under any weather advisory right now,get_weather
will it be comfortable outside in nagpur today,get_weather
do i need an umbrella in pune,get_weather
is there a chance of hail in noida today,get_weather
how humid is it in ulhasnagar today,get_weather
hows the weather shaping up in mumbai this week,get_weather
let me know if its raining in aurangabad,get_weather
will it rain in davanagere today,get_weather
tell me the realfeel temperature in shrivardhan,get_weather
hows the temperature fluctuating today in nagercoil,get_weather
will it be clear or rainy in nagpur this evening,get_weather
should i expect showers later today in gwalior,get_weather
will it be clear or rainy in gwalior this evening,get_weather
give me the forecast for the next few hours in dhanbad,get_weather
tell me if kolkata is having good weather today,get_weather
will it be hot in virar during the day,get_weather
get me the weather conditions for mumbai,get_weather
what kind of weather should i expect in jaipur this weekend,get_weather
hows visibility in ambarnath right now,get_weather
how warm is it going to be in virar this afternoon,get_weather
can you check the current weather status in aurangabad,get_weather
will it be clear or rainy in ahmedabad this evening,get_weather
is the weather suitable for outdoor activities in bhopal,get_weather
what are the precipitation levels in kochi right now,get_weather
is kolkata experiencing a heatwave,get_weather
do i need an umbrella in visakhapatnam,get_weather
whats the fiveday forecast for yavatmal,get_weather
do i need an umbrella in boisar,get_weather
will the skies be clear in osmanabad tonight,get_weather
do i need an umbrella in durgapur,get_weather
how hot is it in saharanpur at the moment,get_weather
can i expect rain during the weekend in udaipur,get_weather
does latur have clear skies today,get_weather
can you tell me if its raining in nandurbar,get_weather
is there a chance of hail in nagpur today,get_weather
whats the uv index in rourkela today,get_weather
is it foggy in parbhani this morning,get_weather
should i expect fog in tezpur this morning,get_weather
how warm is it going to be in latur this afternoon,get_weather
check tomorrows forecast for vasai,get_weather
what are the precipitation levels in karimnagar right now,get_weather
give me the forecast for the next few hours in moradabad,get_weather
will it be clear or rainy in bokaro this evening,get_weather
do i need to dress warmly in nizamabad today,get_weather
can you tell me if its raining in faridabad,get_weather
tell me if mumbai is having good weather today,get_weather
will it rain in gurugram today,get_weather
whats the chance of rain in hingoli today,get_weather
will it be windy in gondia today,get_weather
is ghaziabad experiencing a heatwave,get_weather
give me the weather report for saharanpur,get_weather
should i expect showers later today in saharanpur,get_weather
should i expect fog in vijayawada this morning,get_weather
do i need to dress warmly in noida today,get_weather
hows the air pressure in virar currently,get_weather
will it be comfortable outside in mangalore today,get_weather
whats the weather trend in solapur for the next few days,get_weather
will it be clear or rainy in jamshedpur this evening,get_weather
will there be snow flurries in salem today,get_weather
whats the uv index in nanded today,get_weather
how humid is it in rourkela today,get_weather
will it be windy in dombivli today,get_weather
should i expect showers later today in alibag,get_weather
get me the weather conditions for jagdalpur,get_weather
check the air quality in akola right now,get_weather
is there a weather alert in khammam right now,get_weather
tell me the weather forecast for delhi,get_weather
do i need to dress warmly in aligarh today,get_weather
can you get me the latest weather update for varanasi,get_weather
give me the hourly forecast for kolkata,get_weather
is amritsar under any weather advisory right now,get_weather
what kind of weather should i expect in ambarnath this weekend,get_weather
is kochi under any weather advisory right now,get_weather
is it cloudy in sangli now,get_weather
will there be snow flurries in gwalior today,get_weather
is it cloudy in ludhiana now,get_weather
is itanagar under a heat advisory,get_weather
whats the chance of rain in nandurbar today,get_weather
hows the weather today in rajkot,get_weather
do i need to dress warmly in bhandara today,get_weather
can i expect rain during the weekend in shimoga,get_weather
is the weather suitable for outdoor activities in kharagpur,get_weather
hows the weather looking for tomorrow in shimoga,get_weather
whats the weather trend in matheran for the next few days,get_weather
should i expect showers later today in jaipur,get_weather
will vadodara have thunderstorms today,get_weather
tell me if its overcast in phaltan today,get_weather
should i expect snow in tumakuru this week,get_weather
do i need to carry a raincoat in rajkot today,get_weather
what will the weather be like in nagercoil tonight,get_weather
does durgapur have clear skies today,get_weather
whats the uv index in gurugram today,get_weather
check the air quality in visakhapatnam right now,get_weather
should i expect showers later today in yavatmal,get_weather
hows the wind chill in tiruchirappalli right now,get_weather
is it cloudy in ahmedabad now,get_weather
will it rain in madurai today,get_weather
will there be snow flurries in khammam today,get_weather
hows the wind chill in ambarnath right now,get_weather
is it foggy in yavatmal this morning,get_weather
let me know if its raining in baramati,get_weather
will it be hot in warangal during the day,get_weather
is nainital going to be chilly tomorrow,get_weather
what kind of weather should i expect in ulhasnagar this weekend,get_weather
whats the fiveday forecast for kalyan,get_weather
whats the fiveday forecast for boisar,get_weather
is kolhapur experiencing a heatwave,get_weather
will there be sunshine all day in tirunelveli,get_weather
give me the weather report for aizawl,get_weather
can i expect rain during the weekend in dibrugarh,get_weather
tell me if roorkee is having good weather today,get_weather
how warm is it going to be in kudal this afternoon,get_weather
is it safe to travel in bareilly right now weatherwise,get_weather
hows the weather today in kochi,get_weather
