,text,intent
0,id love to hear this read out loud,convert_to_audio
1,could you turn this script into an audio file,convert_to_audio
2,please make this sentence audible,convert_to_audio
3,transform these lines into voice format,convert_to_audio
4,produce an mp3 from this message,convert_to_audio
5,is it possible to vocalize this content,convert_to_audio
6,say these words out loud,convert_to_audio
7,turn the following into an audio clip,convert_to_audio
8,id appreciate a voice version of this,convert_to_audio
9,generate a sound file of this,convert_to_audio
10,convert the note below into speech,convert_to_audio
11,speak this for me please,convert_to_audio
12,give me a narrated version of this content,convert_to_audio
13,please render this paragraph into voice,convert_to_audio
14,make a recording of this content,convert_to_audio
15,how does this sound when spoken,convert_to_audio
16,can you output this as an mp3,convert_to_audio
17,speak this document out loud,convert_to_audio
18,create a podcast version of this text,convert_to_audio
19,id like to listen to this in spoken form,convert_to_audio
20,convert my notes into a voice memo,convert_to_audio
21,can this text be transformed into audio,convert_to_audio
22,give me a voiceover version of this note,convert_to_audio
23,i need to hear this out loud,convert_to_audio
24,audioify this content,convert_to_audio
25,please give me a voice representation of this,convert_to_audio
26,create a verbal output for this,convert_to_audio
27,play the spoken version of these lines,convert_to_audio
28,id like a readaloud of this,convert_to_audio
29,vocalize these sentences for me,convert_to_audio
30,turn this paragraph into speech format,convert_to_audio
31,make a podcast reading of this note,convert_to_audio
32,give this note a voice,convert_to_audio
33,turn the content into an audible clip,convert_to_audio
34,read this script in a podcast style,convert_to_audio
35,id like an audio narration of this paragraph,convert_to_audio
36,please convert this article to sound,convert_to_audio
37,convert the following sentence into audio output,convert_to_audio
38,let me hear what this text sounds like,convert_to_audio
39,read this in your voice,convert_to_audio
40,speak out the paragraph below,convert_to_audio
41,please convert my document into a voice file,convert_to_audio
42,i want to listen to these sentences,convert_to_audio
43,please provide an audio narration,convert_to_audio
44,turn this into speech audio format,convert_to_audio
45,read out my writing in voice,convert_to_audio
46,audio playback required for this content,convert_to_audio
47,give an oral version of this file,convert_to_audio
48,speak this section like a narrator would,convert_to_audio
49,let me hear how this reads,convert_to_audio
50,i want an audible playback of these notes,convert_to_audio
51,can you sound this paragraph,convert_to_audio
52,convert and vocalize this script,convert_to_audio
53,voice message required for the following,convert_to_audio
54,turn these lines into a speech clip,convert_to_audio
55,could you say these notes aloud,convert_to_audio
56,id like to get an audio transformation of this,convert_to_audio
57,play this paragraph using voice,convert_to_audio
58,can you return this note as audio,convert_to_audio
59,voice representation needed for this script,convert_to_audio
60,generate an audio file from these points,convert_to_audio
61,id like this content spoken,convert_to_audio
62,produce a sound version of this paragraph,convert_to_audio
63,let me hear this content in mp3 form,convert_to_audio
64,turn this sentence into voicebased output,convert_to_audio
65,can you read these lines for me,convert_to_audio
66,please voice out the following message,convert_to_audio
67,speak this out as if its a podcast,convert_to_audio
68,narrate this paragraph please,convert_to_audio
69,generate a voiceover for this note,convert_to_audio
70,make an audio track from this sentence,convert_to_audio
71,id love to hear this read in english,convert_to_audio
72,please say these lines using audio,convert_to_audio
