text,intent
id love to hear this read out loud,convert_to_audio
could you turn this script into an audio file,convert_to_audio
please make this sentence audible,convert_to_audio
transform these lines into voice format,convert_to_audio
produce an mp3 from this message,convert_to_audio
is it possible to vocalize this content,convert_to_audio
say these words out loud,convert_to_audio
turn the following into an audio clip,convert_to_audio
id appreciate a voice version of this,convert_to_audio
generate a sound file of this,convert_to_audio
convert the note below into speech,convert_to_audio
speak this for me please,convert_to_audio
give me a narrated version of this content,convert_to_audio
please render this paragraph into voice,convert_to_audio
make a recording of this content,convert_to_audio
how does this sound when spoken,convert_to_audio
can you output this as an mp3,convert_to_audio
speak this document out loud,convert_to_audio
create a podcast version of this text,convert_to_audio
id like to listen to this in spoken form,convert_to_audio
convert my notes into a voice memo,convert_to_audio
can this text be transformed into audio,convert_to_audio
give me a voiceover version of this note,convert_to_audio
i need to hear this out loud,convert_to_audio
audioify this content,convert_to_audio
please give me a voice representation of this,convert_to_audio
create a verbal output for this,convert_to_audio
play the spoken version of these lines,convert_to_audio
id like a readaloud of this,convert_to_audio
vocalize these sentences for me,convert_to_audio
turn this paragraph into speech format,convert_to_audio
make a podcast reading of this note,convert_to_audio
give this note a voice,convert_to_audio
turn the content into an audible clip,convert_to_audio
read this script in a podcast style,convert_to_audio
id like an audio narration of this paragraph,convert_to_audio
please convert this article to sound,convert_to_audio
convert the following sentence into audio output,convert_to_audio
let me hear what this text sounds like,convert_to_audio
read this in your voice,convert_to_audio
speak out the paragraph below,convert_to_audio
please convert my document into a voice file,convert_to_audio
i want to listen to these sentences,convert_to_audio
please provide an audio narration,convert_to_audio
turn this into speech audio format,convert_to_audio
read out my writing in voice,convert_to_audio
audio playback required for this content,convert_to_audio
give an oral version of this file,convert_to_audio
speak this section like a narrator would,convert_to_audio
let me hear how this reads,convert_to_audio
i want an audible playback of these notes,convert_to_audio
can you sound this paragraph,convert_to_audio
convert and vocalize this script,convert_to_audio
voice message required for the following,convert_to_audio
turn these lines into a speech clip,convert_to_audio
could you say these notes aloud,convert_to_audio
id like to get an audio transformation of this,convert_to_audio
play this paragraph using voice,convert_to_audio
can you return this note as audio,convert_to_audio
voice representation needed for this script,convert_to_audio
generate an audio file from these points,convert_to_audio
id like this content spoken,convert_to_audio
produce a sound version of this paragraph,convert_to_audio
let me hear this content in mp3 form,convert_to_audio
turn this sentence into voicebased output,convert_to_audio
can you read these lines for me,convert_to_audio
please voice out the following message,convert_to_audio
speak this out as if its a podcast,convert_to_audio
narrate this paragraph please,convert_to_audio
generate a voiceover for this note,convert_to_audio
make an audio track from this sentence,convert_to_audio
id love to hear this read in english,convert_to_audio
please say these lines using audio,convert_to_audio
provide an auditory version of this,convert_to_audio
can you return an mp3 of this note,convert_to_audio
voice this script out loud,convert_to_audio
let me listen to these notes,convert_to_audio
say this section in your voice,convert_to_audio
i need this transformed into voice,convert_to_audio
say this sentence with voice,convert_to_audio
create a speech version of these points,convert_to_audio
speak the following out like an audiobook,convert_to_audio
give me an audible file of this message,convert_to_audio
produce speech for the content below,convert_to_audio
please let me hear this script,convert_to_audio
say this back to me in audio,convert_to_audio
id like an mp3 version of this writing,convert_to_audio
speak the paragraph in clear audio,convert_to_audio
can you return a vocal version of this file,convert_to_audio
say the following in spoken english,convert_to_audio
play this in audio speech format,convert_to_audio
produce a sound clip from this paragraph,convert_to_audio
please create a spoken version,convert_to_audio
make the following paragraph verbal,convert_to_audio
can you give me an mp3 reading of this,convert_to_audio
say these contents out loud like a narrator,convert_to_audio
speak this message into an audio file,convert_to_audio
make this segment listenable,convert_to_audio
play this note as a voice output,convert_to_audio
say my paragraph as sound,convert_to_audio
turn this piece into vocal form,convert_to_audio
please pronounce this note aloud,convert_to_audio
produce audio using the following words,convert_to_audio
turn this into spoken narration,convert_to_audio
id like this text to be read out loud,convert_to_audio
convert this sentence into an audio message,convert_to_audio
can you play back this text as speech,convert_to_audio
i want this written content in audio format,convert_to_audio
please turn this message into spoken audio,convert_to_audio
i need this content vocalized,convert_to_audio
say this sentence in a natural voice,convert_to_audio
turn this content into something i can listen to,convert_to_audio
could you generate a voiceover of this message,convert_to_audio
id like to listen to this instead of reading,convert_to_audio
please speak the following aloud,convert_to_audio
turn these points into a speech file,convert_to_audio
give me an audible form of this input,convert_to_audio
play this content back as audio,convert_to_audio
i want this information as an mp3,convert_to_audio
can you convert these lines into sound,convert_to_audio
make this sentence speakable,convert_to_audio
transform my paragraph into an audible recording,convert_to_audio
i prefer hearing this generate voice,convert_to_audio
please produce a speech output of this note,convert_to_audio
let me hear this message in audio form,convert_to_audio
convert the following into voicebased audio,convert_to_audio
id like this typed content spoken back to me,convert_to_audio
speak this text for audio playback,convert_to_audio
i want a narratorstyle version of this content,convert_to_audio
please output this as a speech stream,convert_to_audio
say these words in humanlike voice,convert_to_audio
id appreciate this as spoken language,convert_to_audio
say this input in voice form,convert_to_audio
voice this paragraph and send it as audio,convert_to_audio
turn this message into a voice format,convert_to_audio
produce speech from this input,convert_to_audio
can you narrate this line,convert_to_audio
please play this out loud using ai voice,convert_to_audio
say the next message as an audio clip,convert_to_audio
speak this using naturalsounding speech,convert_to_audio
play audio of these statements,convert_to_audio
create a vocal file of this paragraph,convert_to_audio
generate voice narration for this entry,convert_to_audio
provide this content as a spoken file,convert_to_audio
read this aloud like a narrator,convert_to_audio
i want to hear this paragraph,convert_to_audio
give me a listenable version of the input,convert_to_audio
play this content as a human voice,convert_to_audio
make this paragraph sound like a podcast,convert_to_audio
turn this sentence into something i can hear,convert_to_audio
could you voice this out for me,convert_to_audio
