text,intent
Show me the last 5 emails,gmail_operations
Get recent 10 messages from my inbox,gmail_operations
Give me my latest 3 mails,gmail_operations
Fetch the last few emails,gmail_operations
Display recent mails,gmail_operations
Show emails from hr@xyz.com,gmail_operations
Fetch mails sent by Flipkart,gmail_operations
Get messages from John Doe,gmail_operations
Show me emails from my manager,gmail_operations
Find mails from noreply@cdac.in,gmail_operations
Show unread emails,gmail_operations
Get all unread messages,gmail_operations
Display the mails I haven't seen,gmail_operations
Fetch only the unread ones,gmail_operations
What mails are unread?,gmail_operations
Show important emails,gmail_operations
Fetch starred mails,gmail_operations
Give me high priority messages,gmail_operations
Get my flagged mails,gmail_operations
Important messages only,gmail_operations
Get mails from last 7 days,gmail_operations
Show emails between Monday and today,gmail_operations
Fetch messages from last week,gmail_operations
Display emails from January,gmail_operations
Give me mails from yesterday,gmail_operations
Get emails labeled 'Work',gmail_operations
Show messages under 'Personal',gmail_operations
Fetch mails in Updates category,gmail_operations
Give me social label messages,gmail_operations
Find mails in the Promotions tab,gmail_operations
Show emails with subject containing 'invoice',gmail_operations
Get mails with subject line 'offer',gmail_operations
Find messages where subject includes 'payment',gmail_operations
Search emails with subject 'Meeting',gmail_operations
Filter emails by subject keyword 'Amazon',gmail_operations
Download attachments from last 2 mails,gmail_operations
Get files from my recent emails,gmail_operations
Fetch documents attached in messages,gmail_operations
Show emails with attachments,gmail_operations
List all recent mail attachments,gmail_operations
Summarize last 3 emails from Flipkart,gmail_operations
Give summary of mails from today,gmail_operations
Summarize my inbox,gmail_operations
What's the gist of the last few mails?,gmail_operations
Brief me on emails from last week,gmail_operations
List the last few emails I got,gmail_operations
Can you show me my 8 most recent mails?,gmail_operations
I want to see the past 4 emails,gmail_operations
Last 6 messages please,gmail_operations
Retrieve my latest emails,gmail_operations
Show all messages from Amazon,gmail_operations
Emails from my professor,gmail_operations
Can you get messages by support@zomato.com?,gmail_operations
List all mails sent by my boss,gmail_operations
Pull messages from Airtel,gmail_operations
List new unread mails,gmail_operations
What messages haven't I opened?,gmail_operations
Any unread mail in my inbox?,gmail_operations
Unread emails from this week,gmail_operations
Are there any unread ones?,gmail_operations
Show me the important emails only,gmail_operations
Do I have any starred messages?,gmail_operations
List my marked important emails,gmail_operations
Fetch priority mails,gmail_operations
What are my flagged emails?,gmail_operations
Mails received in the past 3 days,gmail_operations
Show emails between 1st and 5th July,gmail_operations
Retrieve messages from this weekend,gmail_operations
Inbox messages from the last 24 hours,gmail_operations
Can I see emails from June?,gmail_operations
Filter by label 'Finance',gmail_operations
Show only work-labeled mails,gmail_operations
What do I have in the 'Updates' tab?,gmail_operations
Emails marked as 'Personal',gmail_operations
Get only 'Travel' category emails,gmail_operations
Any emails about 'registration'?,gmail_operations
Search subject line for 'receipt',gmail_operations
Mails where subject has 'notification',gmail_operations
Show me messages with 'Results' in subject,gmail_operations
Filter subject by keyword 'fee',gmail_operations
Download all attachments from today’s mails,gmail_operations
List attachments in recent emails,gmail_operations
Any files received today?,gmail_operations
Show me emails that include attachments,gmail_operations
Get PDF files sent recently,gmail_operations
Give me a short summary of today's emails,gmail_operations
Summarize all unread messages,gmail_operations
Quick summary of emails from boss,gmail_operations
What's in my latest 5 mails?,gmail_operations
Summarize everything received this week,gmail_operations
Pull up my last three emails,gmail_operations
Can I view the 10 most recent mails?,gmail_operations
List the latest batch of emails,gmail_operations
What are my last few messages?,gmail_operations
I want to check the previous emails I received,gmail_operations
Retrieve emails from LinkedIn,gmail_operations
Find all messages from the bank,gmail_operations
Show emails sent by customer.support@abc.com,gmail_operations
Do I have any mail from Ravi?,gmail_operations
Get all correspondence from Flipkart,gmail_operations
What emails haven’t I read yet?,gmail_operations
New mails in my inbox?,gmail_operations
"Unread emails only, please",gmail_operations
I want to see new unread messages,gmail_operations
Are there any unopened emails?,gmail_operations
Show the high-priority emails,gmail_operations
Display only starred conversations,gmail_operations
Get emails marked as important,gmail_operations
What are my flagged or starred messages?,gmail_operations
Important mails only,gmail_operations
Emails from last Monday to today,gmail_operations
Fetch mails I got this month,gmail_operations
Get messages between 1st May and 10th May,gmail_operations
Pull emails from yesterday,gmail_operations
What emails came in over the weekend?,gmail_operations
Give me all emails tagged 'Official',gmail_operations
Find emails under the 'Social' label,gmail_operations
Get messages categorized as 'Promotions',gmail_operations
Retrieve only those labeled as 'Job Alerts',gmail_operations
Show me all emails with the label 'Bills',gmail_operations
Look for mails where subject contains 'offer',gmail_operations
Search subjects for the word 'project',gmail_operations
Emails about 'travel itinerary',gmail_operations
Find all messages with subject line including 'cancelled',gmail_operations
Subject line contains the word 'invoice',gmail_operations
Any messages with downloadable files?,gmail_operations
List all emails with documents attached,gmail_operations
Where are my attachment mails?,gmail_operations
Find all images or PDFs sent recently,gmail_operations
Can I view only emails that have attachments?,gmail_operations
Can you give me a summary of unread messages?,gmail_operations
Summarize all emails from yesterday,gmail_operations
What's the gist of my latest mails?,gmail_operations
I just need a brief of today's inbox,gmail_operations
Give me quick points from recent emails,gmail_operations
Show my most recent two emails,gmail_operations
Give me the latest five messages,gmail_operations
Pull the previous few mails,gmail_operations
I'd like to see the last emails I received,gmail_operations
Access my 3 latest mails,gmail_operations
Get emails sent by Amazon,gmail_operations
Any messages from my professor?,gmail_operations
Retrieve conversations from info@cdac.in,gmail_operations
Do I have any mail from Microsoft?,gmail_operations
Show me all the emails that Ramesh sent,gmail_operations
Bring up the emails I haven't read yet,gmail_operations
Display all fresh emails,gmail_operations
