text,intent
Will it be clear or rainy in Rourkela this evening?,get_weather
Check if it's snowing in Latur,get_weather
How does the sky look in Latur today?,get_weather
Is it cold in Howrah today?,get_weather
Tell me if Thiruvananthapuram is having good weather today,get_weather
Should I expect fog in Shimoga this morning?,get_weather
Can you show me hourly temperature updates in Begusarai?,get_weather
Will it be clear or rainy in Nainital this evening?,get_weather
Is there a weather warning in Ahmednagar?,get_weather
How’s the wind chill in Dhanbad right now?,get_weather
Will it be comfortable outside in Jamshedpur today?,get_weather
Is the weather suitable for outdoor activities in Haridwar?,get_weather
Do I need sunglasses in Siliguri today?,get_weather
Will it be comfortable outside in Khammam today?,get_weather
Is it foggy in Baramati this morning?,get_weather
Update me on the weather conditions in Tirunelveli,get_weather
Will it be windy in Alibag today?,get_weather
Tell me the weather forecast for Phaltan,get_weather
How warm is it going to be in Mysuru this afternoon?,get_weather
Tell me the weather forecast for Alibag,get_weather
Is there a weather warning in Chiplun?,get_weather
Will it be hot in Baramati during the day?,get_weather
What’s the wind speed in Lucknow currently?,get_weather
How will the weather be around noon in Nagpur?,get_weather
What’s the five-day forecast for Chennai?,get_weather
Give me the hourly forecast for Visakhapatnam,get_weather
Should I wear a jacket in Mahad today?,get_weather
Can you get me the latest weather update for Hyderabad?,get_weather
What's the temperature in Raipur currently?,get_weather
Will it be comfortable outside in Nagpur today?,get_weather
How will the weather be around noon in Howrah?,get_weather
Is it cold in Faridabad today?,get_weather
How does the sky look in Bilaspur today?,get_weather
Will the skies be clear in Ulhasnagar tonight?,get_weather
Do I need sunglasses in Latur today?,get_weather
Will it be windy in Durgapur today?,get_weather
Will there be sunshine all day in Nandurbar?,get_weather
Can you show me hourly temperature updates in Chennai?,get_weather
Is there a weather alert in Tiruchirappalli right now?,get_weather
Is Saharanpur experiencing a heatwave?,get_weather
What are the precipitation levels in Dehradun right now?,get_weather
Check if it's snowing in Bhopal,get_weather
Is it cold in Patna today?,get_weather
Will Tiruchirappalli have thunderstorms today?,get_weather
What’s the high and low temperature in Kolhapur today?,get_weather
Is the weather suitable for outdoor activities in Roorkee?,get_weather
How will the weather be around noon in Bangalore?,get_weather
Can I expect rain during the weekend in Nanded?,get_weather
Is it cloudy in Palghar now?,get_weather
Should I wear a jacket in Boisar today?,get_weather
Will Agartala have thunderstorms today?,get_weather
What are the precipitation levels in Moradabad right now?,get_weather
What's the weather like in Boisar?,get_weather
How’s visibility in Agartala right now?,get_weather
Will the skies be clear in Jaipur tonight?,get_weather
Is Raipur under a heat advisory?,get_weather
Let me know if it's raining in Delhi,get_weather
Do I need an umbrella in Tirunelveli?,get_weather
Is it safe to go for a walk in Jabalpur right now?,get_weather
Do I need to carry a raincoat in Beed today?,get_weather
Get today’s forecast summary for Guwahati,get_weather
Will the skies be clear in Bhopal tonight?,get_weather
Let me know if it's raining in Pune,get_weather
Are there any extreme weather conditions in Udaipur today?,get_weather
What’s the UV index in Mumbai today?,get_weather
Do I need sunglasses in Varanasi today?,get_weather
Will the skies be clear in Gwalior tonight?,get_weather
What's the chance of rain in Hyderabad today?,get_weather
Check if it's snowing in Patna,get_weather
How's the weather today in Hubbali?,get_weather
Is there a chance of hail in Nashik today?,get_weather
Is the weather suitable for outdoor activities in Ranchi?,get_weather
How’s visibility in Rajkot right now?,get_weather
What kind of weather should I expect in Parbhani this weekend?,get_weather
Will there be a storm in Coimbatore today?,get_weather
Will there be a storm in Silchar today?,get_weather
Let me know if it's raining in Panvel,get_weather
How’s the temperature fluctuating today in Mahad?,get_weather
What's the weather outlook for Kudal?,get_weather
Will it be clear or rainy in Jagdalpur this evening?,get_weather
How's the air pressure in Mumbai currently?,get_weather
Get today’s forecast summary for Nandurbar,get_weather
What kind of weather should I expect in Ratnagiri this weekend?,get_weather
Will there be sunshine all day in Nainital?,get_weather
What’s the UV index in Dibrugarh today?,get_weather
Is there a weather alert in Erode right now?,get_weather
Will Dehradun have thunderstorms today?,get_weather
Check if it's snowing in Solapur,get_weather
Is Tiruchirappalli under any weather advisory right now?,get_weather
Will it be windy in Moradabad today?,get_weather
Get me the weather conditions for Faridabad,get_weather
Should I expect fog in Tirunelveli this morning?,get_weather
Tell me if Kochi is having good weather today,get_weather
What's the chance of rain in Dehradun today?,get_weather
Will there be a storm in Palghar today?,get_weather
Check the air quality in Nagpur right now,get_weather
What's the chance of rain in Udaipur today?,get_weather
Will it rain in Kochi today?,get_weather
Will the skies be clear in Amritsar tonight?,get_weather
Can you get me the latest weather update for Salem?,get_weather
Get me the weather conditions for Tirunelveli,get_weather
Check tomorrow’s forecast for Rajkot,get_weather
What's the weather trend in Ranchi for the next few days?,get_weather
Is Dibrugarh going to be chilly tomorrow?,get_weather
Tell me if Meerut is having good weather today,get_weather
How's the air pressure in Jalgaon currently?,get_weather
How humid is it in Phaltan today?,get_weather
Give me the weather report for Chennai,get_weather
How’s visibility in Dhanbad right now?,get_weather
Tell me the weather for the weekend in Chennai,get_weather
Should I expect showers later today in Phaltan?,get_weather
How’s the weather shaping up in Khammam this week?,get_weather
How hot is it in Durgapur at the moment?,get_weather
Give me the weather report for Chandrapur,get_weather
Are there any extreme weather conditions in Udupi today?,get_weather
Is there a weather alert in Darbhanga right now?,get_weather
Tell me if Darbhanga is having good weather today,get_weather
Give me the hourly forecast for Prayagraj,get_weather
Is Mumbai experiencing a heatwave?,get_weather
Tell me the weather for the weekend in Kota,get_weather
Check the air quality in Ambarnath right now,get_weather
Tell me the weather forecast for Phaltan,get_weather
Check the air quality in Ranchi right now,get_weather
Give me the weather report for Jabalpur,get_weather
Is it foggy in Delhi this morning?,get_weather
What's the chance of rain in Rourkela today?,get_weather
Are there any extreme weather conditions in Agartala today?,get_weather
What will the weather be like in Satara tonight?,get_weather
Is it cloudy in Dehradun now?,get_weather
Tell me the weather for the weekend in Faridabad,get_weather
How’s the wind chill in Ratnagiri right now?,get_weather
Can you tell me if it’s raining in Virar?,get_weather
Can I expect rain during the weekend in Mumbai?,get_weather
How hot is it in Nandurbar at the moment?,get_weather
How’s visibility in Thanjavur right now?,get_weather
Is it foggy in Ahmednagar this morning?,get_weather
Is the weather suitable for outdoor activities in Tiruchirappalli?,get_weather
Is Saharanpur under any weather advisory right now?,get_weather
Is there a chance of hail in Ranchi today?,get_weather
What's the weather outlook for Beed?,get_weather
Is there a weather warning in Nizamabad?,get_weather
Give me the hourly forecast for Wardha,get_weather
Is the weather suitable for outdoor activities in Muzaffarpur?,get_weather
How’s the temperature fluctuating today in Siliguri?,get_weather
Is Amravati experiencing a heatwave?,get_weather
How’s the wind chill in Imphal right now?,get_weather
How’s the weather looking for tomorrow in Bhubaneswar?,get_weather
How’s the wind chill in Wardha right now?,get_weather
Tell me the real-feel temperature in Hubbali,get_weather
What's the weather trend in Yavatmal for the next few days?,get_weather
Is it safe to travel in Ludhiana right now weather-wise?,get_weather
Do I need to carry a raincoat in Satara today?,get_weather
Check tomorrow’s forecast for Aurangabad,get_weather
Tell me the real-feel temperature in Ulhasnagar,get_weather
Will Alibag have thunderstorms today?,get_weather
What’s the high and low temperature in Muzaffarpur today?,get_weather
Is it safe to go for a walk in Sangli right now?,get_weather
Should I expect snow in Faridabad this week?,get_weather
Do I need to dress warmly in Korba today?,get_weather
Can you tell me if it’s raining in Dhanbad?,get_weather
How warm is it going to be in Siliguri this afternoon?,get_weather
Do I need sunglasses in Pune today?,get_weather
Should I wear a jacket in Mysuru today?,get_weather
Should I expect showers later today in Shirdi?,get_weather
Are there any extreme weather conditions in Nashik today?,get_weather
How will the weather be around noon in Rajkot?,get_weather
Check if it's snowing in Mysuru,get_weather
Tell me the weather forecast for Ahmednagar,get_weather
Check tomorrow’s forecast for Korba,get_weather
Get me the weather conditions for Thanjavur,get_weather
What’s the wind speed in Vadodara currently?,get_weather
Will there be a storm in Begusarai today?,get_weather
Can you get me the latest weather update for Udupi?,get_weather
Check the air quality in Korba right now,get_weather
Is it foggy in Baramati this morning?,get_weather
What’s the UV index in Meerut today?,get_weather
Tell me if Nashik is having good weather today,get_weather
What's the weather trend in Ghaziabad for the next few days?,get_weather
Tell me the real-feel temperature in Dehradun,get_weather
Tell me if Saharanpur is having good weather today,get_weather
Is there a chance of hail in Tezpur today?,get_weather
How warm is it going to be in Gwalior this afternoon?,get_weather
What’s the wind speed in Khammam currently?,get_weather
Let me know if it's raining in Dibrugarh,get_weather
Give me the forecast for the next few hours in Alibag,get_weather
Tell me if it's overcast in Ranchi today,get_weather
What's the chance of rain in Osmanabad today?,get_weather
How’s the temperature fluctuating today in Belgaum?,get_weather
Is there a chance of hail in Kota today?,get_weather
Is it safe to travel in Nashik right now weather-wise?,get_weather
What's the weather trend in Noida for the next few days?,get_weather
Should I expect fog in Vadodara this morning?,get_weather
Let me know if it's raining in Ludhiana,get_weather
Is Gaya going to be chilly tomorrow?,get_weather
Will it be comfortable outside in Panvel today?,get_weather
Do I need to dress warmly in Alibag today?,get_weather
What's the chance of rain in Jodhpur today?,get_weather
Will it be hot in Parbhani during the day?,get_weather
Give me the hourly forecast for Meerut,get_weather
Is Dhule under any weather advisory right now?,get_weather
Will it be comfortable outside in Nagpur today?,get_weather
Do I need an umbrella in Pune?,get_weather
Is there a chance of hail in Noida today?,get_weather
How humid is it in Ulhasnagar today?,get_weather
How’s the weather shaping up in Mumbai this week?,get_weather
Let me know if it's raining in Aurangabad,get_weather
Will it rain in Davanagere today?,get_weather
Tell me the real-feel temperature in Shrivardhan,get_weather
How’s the temperature fluctuating today in Nagercoil?,get_weather
Will it be clear or rainy in Nagpur this evening?,get_weather
Should I expect showers later today in Gwalior?,get_weather
Will it be clear or rainy in Gwalior this evening?,get_weather
Give me the forecast for the next few hours in Dhanbad,get_weather
Tell me if Kolkata is having good weather today,get_weather
Will it be hot in Virar during the day?,get_weather
Get me the weather conditions for Mumbai,get_weather
What kind of weather should I expect in Jaipur this weekend?,get_weather
How’s visibility in Ambarnath right now?,get_weather
How warm is it going to be in Virar this afternoon?,get_weather
Can you check the current weather status in Aurangabad?,get_weather
Will it be clear or rainy in Ahmedabad this evening?,get_weather
Is the weather suitable for outdoor activities in Bhopal?,get_weather
What are the precipitation levels in Kochi right now?,get_weather
Is Kolkata experiencing a heatwave?,get_weather
Do I need an umbrella in Visakhapatnam?,get_weather
What’s the five-day forecast for Yavatmal?,get_weather
Do I need an umbrella in Boisar?,get_weather
Will the skies be clear in Osmanabad tonight?,get_weather
Do I need an umbrella in Durgapur?,get_weather
How hot is it in Saharanpur at the moment?,get_weather
Can I expect rain during the weekend in Udaipur?,get_weather
Does Latur have clear skies today?,get_weather
Can you tell me if it’s raining in Nandurbar?,get_weather
Is there a chance of hail in Nagpur today?,get_weather
What’s the UV index in Rourkela today?,get_weather
Is it foggy in Parbhani this morning?,get_weather
Should I expect fog in Tezpur this morning?,get_weather
How warm is it going to be in Latur this afternoon?,get_weather
Check tomorrow’s forecast for Vasai,get_weather
What are the precipitation levels in Karimnagar right now?,get_weather
Give me the forecast for the next few hours in Moradabad,get_weather
Will it be clear or rainy in Bokaro this evening?,get_weather
Do I need to dress warmly in Nizamabad today?,get_weather
Can you tell me if it’s raining in Faridabad?,get_weather
Tell me if Mumbai is having good weather today,get_weather
Will it rain in Gurugram today?,get_weather
What's the chance of rain in Hingoli today?,get_weather
Will it be windy in Gondia today?,get_weather
Is Ghaziabad experiencing a heatwave?,get_weather
Give me the weather report for Saharanpur,get_weather
Should I expect showers later today in Saharanpur?,get_weather
Should I expect fog in Vijayawada this morning?,get_weather
Do I need to dress warmly in Noida today?,get_weather
How's the air pressure in Virar currently?,get_weather
Will it be comfortable outside in Mangalore today?,get_weather
What's the weather trend in Solapur for the next few days?,get_weather
Will it be clear or rainy in Jamshedpur this evening?,get_weather
Will there be snow flurries in Salem today?,get_weather
What’s the UV index in Nanded today?,get_weather
How humid is it in Rourkela today?,get_weather
Will it be windy in Dombivli today?,get_weather
Should I expect showers later today in Alibag?,get_weather
Get me the weather conditions for Jagdalpur,get_weather
Check the air quality in Akola right now,get_weather
Is there a weather alert in Khammam right now?,get_weather
Tell me the weather forecast for Delhi,get_weather
Do I need to dress warmly in Aligarh today?,get_weather
Can you get me the latest weather update for Varanasi?,get_weather
Give me the hourly forecast for Kolkata,get_weather
Is Amritsar under any weather advisory right now?,get_weather
What kind of weather should I expect in Ambarnath this weekend?,get_weather
Is Kochi under any weather advisory right now?,get_weather
Is it cloudy in Sangli now?,get_weather
Will there be snow flurries in Gwalior today?,get_weather
Is it cloudy in Ludhiana now?,get_weather
Is Itanagar under a heat advisory?,get_weather
What's the chance of rain in Nandurbar today?,get_weather
