text,intent
what do people think about this phone on flipkart,analyse_product_sentiment
can you analyze reviews for the samsung galaxy s21,analyse_product_sentiment
tell me if users like this washing machine,analyse_product_sentiment
whats the public opinion on this air fryer,analyse_product_sentiment
give me the sentiment summary of this product,analyse_product_sentiment
are customers satisfied with this laptop,analyse_product_sentiment
analyze flipkart reviews for the iphone 13,analyse_product_sentiment
summarize customer feedback for this smartwatch,analyse_product_sentiment
do buyers recommend this refrigerator,analyse_product_sentiment
hows the review sentiment for this product,analyse_product_sentiment
what are people saying about this dslr,analyse_product_sentiment
review the sentiment for these headphones,analyse_product_sentiment
check if this product has good reviews,analyse_product_sentiment
sentiment analysis of flipkart ratings for this item,analyse_product_sentiment
go through user reviews and tell me the sentiment,analyse_product_sentiment
can you check how customers feel about this tablet,analyse_product_sentiment
is this vacuum cleaner getting positive reviews,analyse_product_sentiment
analyze the ratings and feedback for this product,analyse_product_sentiment
how are people rating this mobile,analyse_product_sentiment
tell me the general opinion about this microwave,analyse_product_sentiment
are the reviews for this smartwatch mostly positive or negative,analyse_product_sentiment
give me a quick sentiment analysis for this product,analyse_product_sentiment
what do customers think about this led tv,analyse_product_sentiment
check user sentiment on this bluetooth speaker,analyse_product_sentiment
what kind of feedback is this fitness band getting,analyse_product_sentiment
summarize the customer sentiment from reviews,analyse_product_sentiment
look at the reviews and tell me if this ac is good,analyse_product_sentiment
do users like this mixer grinder according to reviews,analyse_product_sentiment
check the overall mood of the reviews for this product,analyse_product_sentiment
tell me how people are reacting to this smart tv,analyse_product_sentiment
based on reviews is this device wellreceived,analyse_product_sentiment
are buyers happy with this printer,analyse_product_sentiment
give me a review sentiment breakdown for this item,analyse_product_sentiment
whats the customer sentiment on this kitchen appliance,analyse_product_sentiment
do reviews show that this device is worth buying,analyse_product_sentiment
can you tell if people are happy with this smart bulb,analyse_product_sentiment
find out the review tone for this noisecancelling headphones,analyse_product_sentiment
tell me if users like this smart scale,analyse_product_sentiment
tell me if users like this router,analyse_product_sentiment
look up the reviews and tell me if people like this ebook reader,analyse_product_sentiment
check what most people are saying about this usb hub,analyse_product_sentiment
can you evaluate the review sentiment of this vacuum cleaner,analyse_product_sentiment
sentiment analysis of flipkart ratings for this electric scooter,analyse_product_sentiment
is this microwave getting good feedback,analyse_product_sentiment
can you list the main points people like or dislike in this smart scale,analyse_product_sentiment
is this bluetooth headset getting mostly positive reviews,analyse_product_sentiment
analyze if this bluetooth speaker is mostly liked or disliked,analyse_product_sentiment
give me the average opinion from flipkart reviews for this robot vacuum,analyse_product_sentiment
summarize the flipkart user opinions for this projector,analyse_product_sentiment
check how users have rated this steam iron,analyse_product_sentiment
analyze what users are saying about this portable ssd,analyse_product_sentiment
fetch sentiment insights about this laptop cooling pad from flipkart,analyse_product_sentiment
analyze what users are saying about this hair straightener,analyse_product_sentiment
analyze flipkart reviews for the portable ssd,analyse_product_sentiment
hows the online buzz around this juicer,analyse_product_sentiment
fetch the reviews and give me a sentiment overview of this electric shaver,analyse_product_sentiment
check public feedback and rate this washing machine,analyse_product_sentiment
can you give a summary of ratings for this tripod stand,analyse_product_sentiment
can you summarize what people are saying about this smart scale,analyse_product_sentiment
find out the review tone for this gaming console,analyse_product_sentiment
does this noisecancelling headphones have a good reputation online,analyse_product_sentiment
summarize the general sentiment for this power bank,analyse_product_sentiment
