text,intent
show me the last 5 emails,gmail_operations
get recent 10 messages from my inbox,gmail_operations
give me my latest 3 mails,gmail_operations
fetch the last few emails,gmail_operations
display recent mails,gmail_operations
show emails from hrxyzcom,gmail_operations
fetch mails sent by flipkart,gmail_operations
get messages from john doe,gmail_operations
show me emails from my manager,gmail_operations
find mails from noreplycdacin,gmail_operations
show unread emails,gmail_operations
get all unread messages,gmail_operations
display the mails i havent seen,gmail_operations
fetch only the unread ones,gmail_operations
what mails are unread,gmail_operations
show important emails,gmail_operations
fetch starred mails,gmail_operations
give me high priority messages,gmail_operations
get my flagged mails,gmail_operations
important messages only,gmail_operations
get mails from last 7 days,gmail_operations
show emails between monday and today,gmail_operations
fetch messages from last week,gmail_operations
display emails from january,gmail_operations
give me mails from yesterday,gmail_operations
get emails labeled work,gmail_operations
show messages under personal,gmail_operations
fetch mails in updates category,gmail_operations
give me social label messages,gmail_operations
find mails in the promotions tab,gmail_operations
show emails with subject containing invoice,gmail_operations
get mails with subject line offer,gmail_operations
find messages where subject includes payment,gmail_operations
search emails with subject meeting,gmail_operations
filter emails by subject keyword amazon,gmail_operations
download attachments from last 2 mails,gmail_operations
get files from my recent emails,gmail_operations
fetch documents attached in messages,gmail_operations
show emails with attachments,gmail_operations
list all recent mail attachments,gmail_operations
summarize last 3 emails from flipkart,gmail_operations
give summary of mails from today,gmail_operations
summarize my inbox,gmail_operations
whats the gist of the last few mails,gmail_operations
brief me on emails from last week,gmail_operations
list the last few emails i got,gmail_operations
can you show me my 8 most recent mails,gmail_operations
i want to see the past 4 emails,gmail_operations
last 6 messages please,gmail_operations
retrieve my latest emails,gmail_operations
show all messages from amazon,gmail_operations
emails from my professor,gmail_operations
can you get messages by supportzomatocom,gmail_operations
list all mails sent by my boss,gmail_operations
pull messages from airtel,gmail_operations
list new unread mails,gmail_operations
what messages havent i opened,gmail_operations
any unread mail in my inbox,gmail_operations
unread emails from this week,gmail_operations
are there any unread ones,gmail_operations
show me the important emails only,gmail_operations
do i have any starred messages,gmail_operations
list my marked important emails,gmail_operations
fetch priority mails,gmail_operations
what are my flagged emails,gmail_operations
mails received in the past 3 days,gmail_operations
show emails between 1st and 5th july,gmail_operations
retrieve messages from this weekend,gmail_operations
inbox messages from the last 24 hours,gmail_operations
can i see emails from june,gmail_operations
filter by label finance,gmail_operations
show only worklabeled mails,gmail_operations
what do i have in the updates tab,gmail_operations
emails marked as personal,gmail_operations
get only travel category emails,gmail_operations
any emails about registration,gmail_operations
search subject line for receipt,gmail_operations
mails where subject has notification,gmail_operations
show me messages with results in subject,gmail_operations
filter subject by keyword fee,gmail_operations
download all attachments from todays mails,gmail_operations
list attachments in recent emails,gmail_operations
any files received today,gmail_operations
show me emails that include attachments,gmail_operations
get pdf files sent recently,gmail_operations
give me a short summary of todays emails,gmail_operations
summarize all unread messages,gmail_operations
quick summary of emails from boss,gmail_operations
whats in my latest 5 mails,gmail_operations
summarize everything received this week,gmail_operations
pull up my last three emails,gmail_operations
can i view the 10 most recent mails,gmail_operations
list the latest batch of emails,gmail_operations
what are my last few messages,gmail_operations
i want to check the previous emails i received,gmail_operations
retrieve emails from linkedin,gmail_operations
find all messages from the bank,gmail_operations
show emails sent by customersupportabccom,gmail_operations
do i have any mail from ravi,gmail_operations
get all correspondence from flipkart,gmail_operations
what emails havent i read yet,gmail_operations
new mails in my inbox,gmail_operations
unread emails only please,gmail_operations
i want to see new unread messages,gmail_operations
are there any unopened emails,gmail_operations
show the highpriority emails,gmail_operations
display only starred conversations,gmail_operations
get emails marked as important,gmail_operations
what are my flagged or starred messages,gmail_operations
important mails only,gmail_operations
emails from last monday to today,gmail_operations
fetch mails i got this month,gmail_operations
get messages between 1st may and 10th may,gmail_operations
pull emails from yesterday,gmail_operations
what emails came in over the weekend,gmail_operations
give me all emails tagged official,gmail_operations
find emails under the social label,gmail_operations
get messages categorized as promotions,gmail_operations
retrieve only those labeled as job alerts,gmail_operations
show me all emails with the label bills,gmail_operations
look for mails where subject contains offer,gmail_operations
search subjects for the word project,gmail_operations
emails about travel itinerary,gmail_operations
find all messages with subject line including cancelled,gmail_operations
subject line contains the word invoice,gmail_operations
any messages with downloadable files,gmail_operations
list all emails with documents attached,gmail_operations
where are my attachment mails,gmail_operations
find all images or pdfs sent recently,gmail_operations
can i view only emails that have attachments,gmail_operations
can you give me a summary of unread messages,gmail_operations
summarize all emails from yesterday,gmail_operations
whats the gist of my latest mails,gmail_operations
i just need a brief of todays inbox,gmail_operations
give me quick points from recent emails,gmail_operations
show my most recent two emails,gmail_operations
give me the latest five messages,gmail_operations
pull the previous few mails,gmail_operations
id like to see the last emails i received,gmail_operations
access my 3 latest mails,gmail_operations
get emails sent by amazon,gmail_operations
any messages from my professor,gmail_operations
retrieve conversations from infocdacin,gmail_operations
do i have any mail from microsoft,gmail_operations
show me all the emails that ramesh sent,gmail_operations
bring up the emails i havent read yet,gmail_operations
display all fresh emails,gmail_operations
open new messages i havent checked,gmail_operations
lets see the unread inbox,gmail_operations
only new unread mails please,gmail_operations
get only my marked or starred emails,gmail_operations
what are the important mails from this week,gmail_operations
load only the emails i flagged,gmail_operations
starred conversations only,gmail_operations
view my priority messages,gmail_operations
pull emails from the last 3 days,gmail_operations
get my inbox from this week,gmail_operations
check all emails i got in june,gmail_operations
what messages came in the last 24 hours,gmail_operations
emails between monday and thursday,gmail_operations
give me the travel labeled messages,gmail_operations
get emails from the bills category,gmail_operations
