text,intent
I'd love to hear this read out loud,convert_to_audio
Could you turn this script into an audio file?,convert_to_audio
Please make this sentence audible,convert_to_audio
Transform these lines into voice format,convert_to_audio
Produce an MP3 from this message,convert_to_audio
Is it possible to vocalize this content?,convert_to_audio
Say these words out loud,convert_to_audio
Turn the following into an audio clip,convert_to_audio
I’d appreciate a voice version of this,convert_to_audio
Generate a sound file of this,convert_to_audio
Convert the note below into speech,convert_to_audio
"Speak this for me, please",convert_to_audio
Give me a narrated version of this content,convert_to_audio
Please render this paragraph into voice,convert_to_audio
Make a recording of this content,convert_to_audio
How does this sound when spoken?,convert_to_audio
Can you output this as an MP3?,convert_to_audio
Speak this document out loud,convert_to_audio
Create a podcast version of this text,convert_to_audio
I'd like to listen to this in spoken form,convert_to_audio
Convert my notes into a voice memo,convert_to_audio
Can this text be transformed into audio?,convert_to_audio
Give me a voice-over version of this note,convert_to_audio
I need to hear this out loud,convert_to_audio
Audioify this content,convert_to_audio
Please give me a voice representation of this,convert_to_audio
Create a verbal output for this,convert_to_audio
Play the spoken version of these lines,convert_to_audio
I'd like a read-aloud of this,convert_to_audio
Vocalize these sentences for me,convert_to_audio
Turn this paragraph into speech format,convert_to_audio
Make a podcast reading of this note,convert_to_audio
Give this note a voice,convert_to_audio
Turn the content into an audible clip,convert_to_audio
Read this script in a podcast style,convert_to_audio
I'd like an audio narration of this paragraph,convert_to_audio
Please convert this article to sound,convert_to_audio
Convert the following sentence into audio output,convert_to_audio
Let me hear what this text sounds like,convert_to_audio
Read this in your voice,convert_to_audio
Speak out the paragraph below,convert_to_audio
Please convert my document into a voice file,convert_to_audio
I want to listen to these sentences,convert_to_audio
Please provide an audio narration,convert_to_audio
Turn this into speech audio format,convert_to_audio
Read out my writing in voice,convert_to_audio
Audio playback required for this content,convert_to_audio
Give an oral version of this file,convert_to_audio
Speak this section like a narrator would,convert_to_audio
Let me hear how this reads,convert_to_audio
I want an audible playback of these notes,convert_to_audio
Can you sound this paragraph?,convert_to_audio
Convert and vocalize this script,convert_to_audio
Voice message required for the following,convert_to_audio
Turn these lines into a speech clip,convert_to_audio
Could you say these notes aloud?,convert_to_audio
I'd like to get an audio transformation of this,convert_to_audio
Play this paragraph using voice,convert_to_audio
Can you return this note as audio?,convert_to_audio
Voice representation needed for this script,convert_to_audio
Generate an audio file from these points,convert_to_audio
I’d like this content spoken,convert_to_audio
Produce a sound version of this paragraph,convert_to_audio
Let me hear this content in MP3 form,convert_to_audio
Turn this sentence into voice-based output,convert_to_audio
Can you read these lines for me?,convert_to_audio
Please voice out the following message,convert_to_audio
Speak this out as if it's a podcast,convert_to_audio
"Narrate this paragraph, please",convert_to_audio
Generate a voice-over for this note,convert_to_audio
Make an audio track from this sentence,convert_to_audio
I'd love to hear this read in English,convert_to_audio
Please say these lines using audio,convert_to_audio
Provide an auditory version of this,convert_to_audio
Can you return an MP3 of this note?,convert_to_audio
Voice this script out loud,convert_to_audio
Let me listen to these notes,convert_to_audio
Say this section in your voice,convert_to_audio
I need this transformed into voice,convert_to_audio
Say this sentence with voice,convert_to_audio
Create a speech version of these points,convert_to_audio
Speak the following out like an audiobook,convert_to_audio
Give me an audible file of this message,convert_to_audio
Produce speech for the content below,convert_to_audio
Please let me hear this script,convert_to_audio
Say this back to me in audio,convert_to_audio
I’d like an MP3 version of this writing,convert_to_audio
Speak the paragraph in clear audio,convert_to_audio
Can you return a vocal version of this file?,convert_to_audio
Say the following in spoken English,convert_to_audio
Play this in audio speech format,convert_to_audio
Produce a sound clip from this paragraph,convert_to_audio
Please create a spoken version,convert_to_audio
Make the following paragraph verbal,convert_to_audio
Can you give me an MP3 reading of this?,convert_to_audio
Say these contents out loud like a narrator,convert_to_audio
Speak this message into an audio file,convert_to_audio
Make this segment listenable,convert_to_audio
Play this note as a voice output,convert_to_audio
Say my paragraph as sound,convert_to_audio
Turn this piece into vocal form,convert_to_audio
Please pronounce this note aloud,convert_to_audio
Produce audio using the following words,convert_to_audio
Turn this into spoken narration,convert_to_audio
I'd like this text to be read out loud,convert_to_audio
Convert this sentence into an audio message,convert_to_audio
Can you play back this text as speech?,convert_to_audio
I want this written content in audio format,convert_to_audio
Please turn this message into spoken audio,convert_to_audio
I need this content vocalized,convert_to_audio
Say this sentence in a natural voice,convert_to_audio
Turn this content into something I can listen to,convert_to_audio
Could you generate a voiceover of this message?,convert_to_audio
I’d like to listen to this instead of reading,convert_to_audio
Please speak the following aloud,convert_to_audio
Turn these points into a speech file,convert_to_audio
Give me an audible form of this input,convert_to_audio
Play this content back as audio,convert_to_audio
I want this information as an MP3,convert_to_audio
Can you convert these lines into sound?,convert_to_audio
Make this sentence speakable,convert_to_audio
Transform my paragraph into an audible recording,convert_to_audio
I prefer hearing this — generate voice,convert_to_audio
Please produce a speech output of this note,convert_to_audio
Let me hear this message in audio form,convert_to_audio
Convert the following into voice-based audio,convert_to_audio
I'd like this typed content spoken back to me,convert_to_audio
Speak this text for audio playback,convert_to_audio
I want a narrator-style version of this content,convert_to_audio
Please output this as a speech stream,convert_to_audio
Say these words in human-like voice,convert_to_audio
I'd appreciate this as spoken language,convert_to_audio
Say this input in voice form,convert_to_audio
Voice this paragraph and send it as audio,convert_to_audio
Turn this message into a voice format,convert_to_audio
Produce speech from this input,convert_to_audio
Can you narrate this line?,convert_to_audio
Please play this out loud using AI voice,convert_to_audio
Say the next message as an audio clip,convert_to_audio
Speak this using natural-sounding speech,convert_to_audio
Play audio of these statements,convert_to_audio
Create a vocal file of this paragraph,convert_to_audio
Generate voice narration for this entry,convert_to_audio
