,text,intent
0,Summarize this audio file,voice_summary
1,What is this audio clip about?,voice_summary
2,Can you give a summary of the voice recording?,voice_summary
3,Tell me the gist of this audio,voice_summary
4,Provide a brief summary of the audio content,voice_summary
5,Summarize the speech I just uploaded,voice_summary
6,What are the main points in this recording?,voice_summary
7,Can you break down this audio for me?,voice_summary
8,Give a short overview of the voice note,voice_summary
9,Extract the summary from this sound file,voice_summary
10,I want a brief idea of what this audio says,voice_summary
11,What does this audio recording discuss?,voice_summary
12,Could you summarize this voice clip?,voice_summary
13,Tell me the main idea from this audio file,voice_summary
14,Give me the key points from the voice note,voice_summary
15,Please provide a concise summary of this audio,voice_summary
16,What is the content of this recording?,voice_summary
17,Summarize what is said in this voice recording,voice_summary
18,Give me a quick rundown of this audio,voice_summary
19,Break down the main topics from this speech,voice_summary
20,Tell me what this audio is about in short,voice_summary
21,Can you capture the summary of this sound clip?,voice_summary
22,I need a summary for the voice recording,voice_summary
23,What are the highlights of this audio?,voice_summary
24,Provide a brief recap of the audio content,voice_summary
25,Can you tell me the gist of this voice note?,voice_summary
26,Summarize the content of this speech recording,voice_summary
27,Give a brief overview of the sound recording,voice_summary
28,What is being discussed in this audio clip?,voice_summary
29,Can you explain what this audio file says in brief?,voice_summary
30,Summarize this audio file,voice_summary
31,What is this audio clip about?,voice_summary
32,Can you give a summary of the voice recording?,voice_summary
33,Tell me the gist of this audio,voice_summary
34,Provide a brief summary of the audio content,voice_summary
35,Summarize the speech I just uploaded,voice_summary
36,What are the main points in this recording?,voice_summary
37,Can you break down this audio for me?,voice_summary
38,Give a short overview of the voice note,voice_summary
39,Extract the summary from this sound file,voice_summary
40,I want a brief idea of what this audio says,voice_summary
41,What’s the core message in this audio?,voice_summary
42,Can you tell me what’s being discussed in this voice clip?,voice_summary
43,Just give me a quick audio summary,voice_summary
44,What’s the topic of this voice message?,voice_summary
45,Summarize the contents of this voice file,voice_summary
46,Please summarize what’s spoken in this audio,voice_summary
47,Give me a short summary of this voice memo,voice_summary
48,Tell me briefly what this voice clip is saying,voice_summary
49,What is discussed in this audio file?,voice_summary
50,Please summarize this voice note,voice_summary
51,What’s the overall message in this audio?,voice_summary
52,Give me a breakdown of this recording,voice_summary
53,Can you highlight the important points in this audio?,voice_summary
54,Summarize the conversation in this clip,voice_summary
55,What does the speaker talk about here?,voice_summary
56,What is the takeaway from this voice message?,voice_summary
57,Can I get a short explanation of this audio?,voice_summary
58,Summarize the audio in a few sentences,voice_summary
59,Tell me what was said in this voice recording,voice_summary
60,What’s this sound file trying to convey?,voice_summary
61,Give me the essence of this voice note,voice_summary
62,Extract and summarize the core message,voice_summary
63,I'd like a brief summary of this voice clip,voice_summary
64,Can you explain what this person is saying?,voice_summary
65,Please provide the key takeaways from the audio,voice_summary
66,Give me a recap of this audio file,voice_summary
67,What’s the summary of the recording?,voice_summary
68,Break this voice clip down into key points,voice_summary
69,Summarize the information in this voice message,voice_summary
70,Tell me briefly what this audio contains,voice_summary
71,What’s being talked about in this voice recording?,voice_summary
72,Can you help me understand this audio in a few words?,voice_summary
73,Capture the summary from this audio note,voice_summary
74,Give me a quick idea of what this person said,voice_summary
75,Summarize what the speaker is saying,voice_summary
76,What does the audio talk about?,voice_summary
77,Provide a summary of the voice file contents,voice_summary
78,Explain what is being discussed in the audio,voice_summary
79,Give a short summary of what this recording says,voice_summary
80,Could you tell me what this audio is saying?,voice_summary
81,What’s this recording all about?,voice_summary
82,Just give me the highlights from this voice note,voice_summary
83,"Quick summary of this voice file, please",voice_summary
84,Tell me the important stuff from this audio,voice_summary
85,Break down the content of this voice recording,voice_summary
86,Help me understand the voice clip,voice_summary
87,Can you extract the key message here?,voice_summary
88,"In short, what’s being said in the audio?",voice_summary
89,Summarize the message in this clip,voice_summary
90,Give me the main message from this sound clip,voice_summary
91,I want a short version of this voice message,voice_summary
92,"Just the summary from this audio, please",voice_summary
93,Please help me with a summary of this clip,voice_summary
94,What is the speaker talking about here?,voice_summary
95,What’s the core message of this voice file?,voice_summary
96,Condense this audio into a few points,voice_summary
97,Summarize what I’m hearing in this recording,voice_summary
98,Wrap up the content of this voice message,voice_summary
99,Can you give a TL;DR of this recording?,voice_summary
100,What’s the summary of this talk?,voice_summary
101,Capture the main content from this voice file,voice_summary
102,Explain this audio in simple terms,voice_summary
103,What’s the narration about in this clip?,voice_summary
104,I'd like a gist of what this recording says,voice_summary
105,Tell me what this speaker is explaining,voice_summary
106,Quick overview of this voice memo,voice_summary
107,What’s this speaker talking about?,voice_summary
108,Could you wrap this audio up in a few words?,voice_summary
109,Break this down and tell me the main parts,voice_summary
110,Give a quick explanation of this audio file,voice_summary
111,Summarize this voice clip in one line,voice_summary
112,I need a short summary of the recording,voice_summary
113,Break down the content of this audio,voice_summary
114,What's the speaker talking about in this file?,voice_summary
115,Give me the main highlights of this audio,voice_summary
116,Can you summarize what was said in this recording?,voice_summary
117,Tell me what this audio is explaining,voice_summary
118,I'd like a summary of the voice message,voice_summary
119,Provide a quick recap of this audio note,voice_summary
120,Give an overview of the discussion in this audio,voice_summary
121,Summarize the topic covered in this voice clip,voice_summary
122,Give me a brief of what’s in this audio,voice_summary
123,What’s being said in this audio message?,voice_summary
124,Give me a voice summary from this file,voice_summary
125,What’s this voice file all about?,voice_summary
126,Summarize the main ideas from the audio clip,voice_summary
127,Explain what this voice note is talking about,voice_summary
128,What's the subject of this sound file?,voice_summary
129,I want a summary of this audio,voice_summary
130,What’s the voice file trying to convey?,voice_summary
131,Summarize what was discussed in this voice message,voice_summary
132,Extract a summary from this audio clip,voice_summary
133,Tell me what the person is saying in this voice note,voice_summary
134,Get me the summary of this podcast audio,voice_summary
135,Can you provide a concise summary of this audio?,voice_summary
136,Summarize this speech recording,voice_summary
137,Tell me the essence of this voice clip,voice_summary
138,What’s the short version of this recording?,voice_summary
139,Give a recap of this audio content,voice_summary
140,What is this person talking about?,voice_summary
141,What’s the main idea of this voice message?,voice_summary
142,Summarize the voice file in plain terms,voice_summary
143,Provide a brief explanation of this audio,voice_summary
144,I just need the key points from this voice note,voice_summary
145,Explain this audio in short,voice_summary
146,What's covered in this recording?,voice_summary
147,Give me a short interpretation of this voice memo,voice_summary
148,What’s the central message of this audio?,voice_summary
149,What’s the overview of this speech clip?,voice_summary
150,Can you sum up this sound clip?,voice_summary
151,What's the content of this voice file?,voice_summary
152,Tell me the main subject of the audio,voice_summary
153,Get a voice summary from this uploaded audio,voice_summary
154,What’s said in the uploaded voice clip?,voice_summary
155,Give a concise explanation of this spoken content,voice_summary
156,What information is shared in this voice recording?,voice_summary
157,Summarize this audio content quickly,voice_summary
158,What's the conclusion of this voice note?,voice_summary
159,Can I get a quick summary of what’s said here?,voice_summary
160,What’s being conveyed in this audio file?,voice_summary
161,Can you tell me the main idea in this voice message?,voice_summary
162,I'd like a short summary of this voice clip,voice_summary
163,Please interpret the audio and summarize it,voice_summary
164,Can you break down this speech into key points?,voice_summary
165,What’s this voice message saying in brief?,voice_summary
166,Please extract the essence of the audio,voice_summary
167,Give me the outline of this voice recording,voice_summary
168,Help me understand what this person is talking about,voice_summary
169,What's the general topic in this audio clip?,voice_summary
170,Summarize what’s discussed in the recording,voice_summary
