text,intent
what is the sentiment of apple stock,stock_sentiment
tell me if tesla is going up or down,stock_sentiment
analyze the stock sentiment for microsoft,stock_sentiment
is amazon stock bullish or bearish,stock_sentiment
how is the market feeling about nvidia,stock_sentiment
give me the current sentiment for google stock,stock_sentiment
whats the investor sentiment on facebook shares,stock_sentiment
are investors positive or negative on netflix stock,stock_sentiment
check the sentiment for intel stock,stock_sentiment
how are people reacting to twitter shares,stock_sentiment
is the market optimistic about amd stock,stock_sentiment
tell me if apple shares are trending up or down,stock_sentiment
whats the mood around tesla stock today,stock_sentiment
is the sentiment bullish for microsoft right now,stock_sentiment
are amazon shares expected to rise,stock_sentiment
analyze how investors feel about nvidia stock,stock_sentiment
whats the overall sentiment for google today,stock_sentiment
is facebook stock considered risky currently,stock_sentiment
how do traders feel about netflix shares,stock_sentiment
check if intel stock is under positive sentiment,stock_sentiment
are investors optimistic about twitters stock,stock_sentiment
whats the latest sentiment on amd shares,stock_sentiment
tell me if apples stock is gaining positive buzz,stock_sentiment
whats the current trend for tesla stock,stock_sentiment
are microsoft shares seeing positive sentiment,stock_sentiment
is amazon stock getting good reviews from traders,stock_sentiment
how is the market sentiment for nvidia stocks,stock_sentiment
give me sentiment analysis for google stock,stock_sentiment
are investors confident in facebook shares,stock_sentiment
check the public sentiment for netflix stock,stock_sentiment
is intel stock showing positive signs,stock_sentiment
how are twitter shares perceived by traders,stock_sentiment
is the amd stock sentiment bullish or bearish,stock_sentiment
whats the investor sentiment for apple today,stock_sentiment
are traders optimistic about tesla stock,stock_sentiment
is microsoft stock trending positively,stock_sentiment
tell me if amazon shares have a positive outlook,stock_sentiment
analyze nvidias stock sentiment from recent news,stock_sentiment
whats the general market sentiment on google stock,stock_sentiment
are facebook shares viewed positively right now,stock_sentiment
how do investors feel about netflix stock recently,stock_sentiment
check the sentiment for intel shares today,stock_sentiment
is twitters stock sentiment favorable,stock_sentiment
are amd stocks in a bullish mood,stock_sentiment
whats the public opinion on apple stock,stock_sentiment
tell me if tesla shares are favored by investors,stock_sentiment
how is the sentiment on microsoft shares,stock_sentiment
is amazon stock viewed as bullish currently,stock_sentiment
analyze market sentiment for nvidia shares,stock_sentiment
whats the trend for google stock sentiment,stock_sentiment
are facebook shares considered stable by traders,stock_sentiment
how do investors perceive netflix stock right now,stock_sentiment
check if intel shares are in positive sentiment,stock_sentiment
is twitter stock sentiment trending upward,stock_sentiment
are amd stocks gaining positive feedback,stock_sentiment
whats the overall feeling about apple stock,stock_sentiment
are tesla shares gaining positive momentum,stock_sentiment
tell me if microsoft stock is bullish or bearish,stock_sentiment
is amazon shares sentiment positive today,stock_sentiment
analyze nvidia stock sentiment from social media,stock_sentiment
whats the public sentiment for google shares,stock_sentiment
are facebook shares seeing increased investor confidence,stock_sentiment
how is netflix stock sentiment trending,stock_sentiment
check if intel stock is receiving positive feedback,stock_sentiment
is twitter stock sentiment positive or negative,stock_sentiment
are amd shares trending bullish currently,stock_sentiment
whats the investor mood around apple stock,stock_sentiment
are tesla shares favored in todays market,stock_sentiment
how is the sentiment on microsoft stock evolving,stock_sentiment
is amazon stock considered bullish right now,stock_sentiment
analyze nvidias stock sentiment from recent trends,stock_sentiment
whats the general sentiment for google shares,stock_sentiment
are facebook stocks viewed positively by investors,stock_sentiment
how do traders feel about netflix stock today,stock_sentiment
check the sentiment trend for intel shares,stock_sentiment
