text,intent
What is the sentiment of Apple stock?,stock_sentiment
Tell me if Tesla is going up or down,stock_sentiment
Analyze the stock sentiment for Microsoft,stock_sentiment
Is Amazon stock bullish or bearish?,stock_sentiment
How is the market feeling about Nvidia?,stock_sentiment
Give me the current sentiment for Google stock,stock_sentiment
What’s the investor sentiment on Facebook shares?,stock_sentiment
Are investors positive or negative on Netflix stock?,stock_sentiment
Check the sentiment for Intel stock,stock_sentiment
How are people reacting to Twitter shares?,stock_sentiment
Is the market optimistic about AMD stock?,stock_sentiment
Tell me if Apple shares are trending up or down,stock_sentiment
What’s the mood around Tesla stock today?,stock_sentiment
Is the sentiment bullish for Microsoft right now?,stock_sentiment
Are Amazon shares expected to rise?,stock_sentiment
Analyze how investors feel about Nvidia stock,stock_sentiment
What’s the overall sentiment for Google today?,stock_sentiment
Is Facebook stock considered risky currently?,stock_sentiment
How do traders feel about Netflix shares?,stock_sentiment
Check if Intel stock is under positive sentiment,stock_sentiment
Are investors optimistic about Twitter’s stock?,stock_sentiment
What’s the latest sentiment on AMD shares?,stock_sentiment
Tell me if Apple’s stock is gaining positive buzz,stock_sentiment
What’s the current trend for Tesla stock?,stock_sentiment
Are Microsoft shares seeing positive sentiment?,stock_sentiment
Is Amazon stock getting good reviews from traders?,stock_sentiment
How is the market sentiment for Nvidia stocks?,stock_sentiment
Give me sentiment analysis for Google stock,stock_sentiment
Are investors confident in Facebook shares?,stock_sentiment
Check the public sentiment for Netflix stock,stock_sentiment
Is Intel stock showing positive signs?,stock_sentiment
How are Twitter shares perceived by traders?,stock_sentiment
Is the AMD stock sentiment bullish or bearish?,stock_sentiment
What’s the investor sentiment for Apple today?,stock_sentiment
Are traders optimistic about Tesla stock?,stock_sentiment
Is Microsoft stock trending positively?,stock_sentiment
Tell me if Amazon shares have a positive outlook,stock_sentiment
Analyze Nvidia’s stock sentiment from recent news,stock_sentiment
What’s the general market sentiment on Google stock?,stock_sentiment
Are Facebook shares viewed positively right now?,stock_sentiment
How do investors feel about Netflix stock recently?,stock_sentiment
Check the sentiment for Intel shares today,stock_sentiment
Is Twitter’s stock sentiment favorable?,stock_sentiment
Are AMD stocks in a bullish mood?,stock_sentiment
What’s the public opinion on Apple stock?,stock_sentiment
Tell me if Tesla shares are favored by investors,stock_sentiment
How is the sentiment on Microsoft shares?,stock_sentiment
Is Amazon stock viewed as bullish currently?,stock_sentiment
Analyze market sentiment for Nvidia shares,stock_sentiment
What’s the trend for Google stock sentiment?,stock_sentiment
Are Facebook shares considered stable by traders?,stock_sentiment
How do investors perceive Netflix stock right now?,stock_sentiment
Check if Intel shares are in positive sentiment,stock_sentiment
Is Twitter stock sentiment trending upward?,stock_sentiment
Are AMD stocks gaining positive feedback?,stock_sentiment
What’s the overall feeling about Apple stock?,stock_sentiment
Are Tesla shares gaining positive momentum?,stock_sentiment
Tell me if Microsoft stock is bullish or bearish,stock_sentiment
Is Amazon shares sentiment positive today?,stock_sentiment
Analyze Nvidia stock sentiment from social media,stock_sentiment
What’s the public sentiment for Google shares?,stock_sentiment
Are Facebook shares seeing increased investor confidence?,stock_sentiment
How is Netflix stock sentiment trending?,stock_sentiment
Check if Intel stock is receiving positive feedback,stock_sentiment
Is Twitter stock sentiment positive or negative?,stock_sentiment
Are AMD shares trending bullish currently?,stock_sentiment
What’s the investor mood around Apple stock?,stock_sentiment
