text,intent
Show me the last 5 emails,fetch_last_n
Get recent 10 messages from my inbox,fetch_last_n
Give me my latest 3 mails,fetch_last_n
Fetch the last few emails,fetch_last_n
Display recent mails,fetch_last_n
Show emails from hr@xyz.com,fetch_by_sender
Fetch mails sent by Flipkart,fetch_by_sender
Get messages from John Doe,fetch_by_sender
Show me emails from my manager,fetch_by_sender
Find mails from noreply@cdac.in,fetch_by_sender
Show unread emails,fetch_unread
Get all unread messages,fetch_unread
Display the mails I haven't seen,fetch_unread
Fetch only the unread ones,fetch_unread
What mails are unread?,fetch_unread
Show important emails,fetch_important
Fetch starred mails,fetch_important
Give me high priority messages,fetch_important
Get my flagged mails,fetch_important
Important messages only,fetch_important
Get mails from last 7 days,fetch_date_range
Show emails between Monday and today,fetch_date_range
Fetch messages from last week,fetch_date_range
Display emails from January,fetch_date_range
Give me mails from yesterday,fetch_date_range
Get emails labeled 'Work',fetch_by_label
Show messages under 'Personal',fetch_by_label
Fetch mails in Updates category,fetch_by_label
Give me social label messages,fetch_by_label
Find mails in the Promotions tab,fetch_by_label
Show emails with subject containing 'invoice',fetch_by_subject
Get mails with subject line 'offer',fetch_by_subject
Find messages where subject includes 'payment',fetch_by_subject
Search emails with subject 'Meeting',fetch_by_subject
Filter emails by subject keyword 'Amazon',fetch_by_subject
Download attachments from last 2 mails,fetch_attachments
Get files from my recent emails,fetch_attachments
Fetch documents attached in messages,fetch_attachments
Show emails with attachments,fetch_attachments
List all recent mail attachments,fetch_attachments
Summarize last 3 emails from Flipkart,summarize_emails
Give summary of mails from today,summarize_emails
Summarize my inbox,summarize_emails
What's the gist of the last few mails?,summarize_emails
Brief me on emails from last week,summarize_emails
List the last few emails I got,fetch_last_n
Can you show me my 8 most recent mails?,fetch_last_n
I want to see the past 4 emails,fetch_last_n
Last 6 messages please,fetch_last_n
Retrieve my latest emails,fetch_last_n
Show all messages from Amazon,fetch_by_sender
Emails from my professor,fetch_by_sender
Can you get messages by support@zomato.com?,fetch_by_sender
List all mails sent by my boss,fetch_by_sender
Pull messages from Airtel,fetch_by_sender
List new unread mails,fetch_unread
What messages haven't I opened?,fetch_unread
Any unread mail in my inbox?,fetch_unread
Unread emails from this week,fetch_unread
Are there any unread ones?,fetch_unread
Show me the important emails only,fetch_important
Do I have any starred messages?,fetch_important
List my marked important emails,fetch_important
Fetch priority mails,fetch_important
What are my flagged emails?,fetch_important
Mails received in the past 3 days,fetch_date_range
Show emails between 1st and 5th July,fetch_date_range
Retrieve messages from this weekend,fetch_date_range
Inbox messages from the last 24 hours,fetch_date_range
Can I see emails from June?,fetch_date_range
Filter by label 'Finance',fetch_by_label
Show only work-labeled mails,fetch_by_label
What do I have in the 'Updates' tab?,fetch_by_label
Emails marked as 'Personal',fetch_by_label
Get only 'Travel' category emails,fetch_by_label
Any emails about 'registration'?,fetch_by_subject
Search subject line for 'receipt',fetch_by_subject
Mails where subject has 'notification',fetch_by_subject
Show me messages with 'Results' in subject,fetch_by_subject
Filter subject by keyword 'fee',fetch_by_subject
Download all attachments from today’s mails,fetch_attachments
List attachments in recent emails,fetch_attachments
Any files received today?,fetch_attachments
Show me emails that include attachments,fetch_attachments
Get PDF files sent recently,fetch_attachments
Give me a short summary of today's emails,summarize_emails
Summarize all unread messages,summarize_emails
Quick summary of emails from boss,summarize_emails
What's in my latest 5 mails?,summarize_emails
Summarize everything received this week,summarize_emails
Pull up my last three emails,fetch_last_n
Can I view the 10 most recent mails?,fetch_last_n
List the latest batch of emails,fetch_last_n
What are my last few messages?,fetch_last_n
I want to check the previous emails I received,fetch_last_n
Retrieve emails from LinkedIn,fetch_by_sender
Find all messages from the bank,fetch_by_sender
Show emails sent by customer.support@abc.com,fetch_by_sender
Do I have any mail from Ravi?,fetch_by_sender
Get all correspondence from Flipkart,fetch_by_sender
What emails haven’t I read yet?,fetch_unread
New mails in my inbox?,fetch_unread
"Unread emails only, please",fetch_unread
I want to see new unread messages,fetch_unread
Are there any unopened emails?,fetch_unread
Show the high-priority emails,fetch_important
Display only starred conversations,fetch_important
Get emails marked as important,fetch_important
What are my flagged or starred messages?,fetch_important
Important mails only,fetch_important
Emails from last Monday to today,fetch_date_range
Fetch mails I got this month,fetch_date_range
Get messages between 1st May and 10th May,fetch_date_range
Pull emails from yesterday,fetch_date_range
What emails came in over the weekend?,fetch_date_range
Give me all emails tagged 'Official',fetch_by_label
Find emails under the 'Social' label,fetch_by_label
Get messages categorized as 'Promotions',fetch_by_label
