Unnamed: 0,text,intent
0,summarize this audio file,voice_summary
1,what is this audio clip about,voice_summary
2,can you give a summary of the voice recording,voice_summary
3,tell me the gist of this audio,voice_summary
4,provide a brief summary of the audio content,voice_summary
5,summarize the speech i just uploaded,voice_summary
6,what are the main points in this recording,voice_summary
7,can you break down this audio for me,voice_summary
8,give a short overview of the voice note,voice_summary
9,extract the summary from this sound file,voice_summary
10,i want a brief idea of what this audio says,voice_summary
11,what does this audio recording discuss,voice_summary
12,could you summarize this voice clip,voice_summary
13,tell me the main idea from this audio file,voice_summary
14,give me the key points from the voice note,voice_summary
15,please provide a concise summary of this audio,voice_summary
16,what is the content of this recording,voice_summary
17,summarize what is said in this voice recording,voice_summary
18,give me a quick rundown of this audio,voice_summary
19,break down the main topics from this speech,voice_summary
20,tell me what this audio is about in short,voice_summary
21,can you capture the summary of this sound clip,voice_summary
22,i need a summary for the voice recording,voice_summary
23,what are the highlights of this audio,voice_summary
24,provide a brief recap of the audio content,voice_summary
25,can you tell me the gist of this voice note,voice_summary
26,summarize the content of this speech recording,voice_summary
27,give a brief overview of the sound recording,voice_summary
28,what is being discussed in this audio clip,voice_summary
29,can you explain what this audio file says in brief,voice_summary
30,summarize this audio file,voice_summary
31,what is this audio clip about,voice_summary
32,can you give a summary of the voice recording,voice_summary
33,tell me the gist of this audio,voice_summary
34,provide a brief summary of the audio content,voice_summary
35,summarize the speech i just uploaded,voice_summary
36,what are the main points in this recording,voice_summary
37,can you break down this audio for me,voice_summary
38,give a short overview of the voice note,voice_summary
39,extract the summary from this sound file,voice_summary
40,i want a brief idea of what this audio says,voice_summary
41,whats the core message in this audio,voice_summary
42,can you tell me whats being discussed in this voice clip,voice_summary
43,just give me a quick audio summary,voice_summary
44,whats the topic of this voice message,voice_summary
45,summarize the contents of this voice file,voice_summary
46,please summarize whats spoken in this audio,voice_summary
47,give me a short summary of this voice memo,voice_summary
48,tell me briefly what this voice clip is saying,voice_summary
49,what is discussed in this audio file,voice_summary
50,please summarize this voice note,voice_summary
51,whats the overall message in this audio,voice_summary
52,give me a breakdown of this recording,voice_summary
53,can you highlight the important points in this audio,voice_summary
54,summarize the conversation in this clip,voice_summary
55,what does the speaker talk about here,voice_summary
56,what is the takeaway from this voice message,voice_summary
57,can i get a short explanation of this audio,voice_summary
58,summarize the audio in a few sentences,voice_summary
59,tell me what was said in this voice recording,voice_summary
60,whats this sound file trying to convey,voice_summary
61,give me the essence of this voice note,voice_summary
62,extract and summarize the core message,voice_summary
63,id like a brief summary of this voice clip,voice_summary
64,can you explain what this person is saying,voice_summary
65,please provide the key takeaways from the audio,voice_summary
66,give me a recap of this audio file,voice_summary
67,whats the summary of the recording,voice_summary
68,break this voice clip down into key points,voice_summary
69,summarize the information in this voice message,voice_summary
70,tell me briefly what this audio contains,voice_summary
71,whats being talked about in this voice recording,voice_summary
72,can you help me understand this audio in a few words,voice_summary
73,capture the summary from this audio note,voice_summary
74,give me a quick idea of what this person said,voice_summary
75,summarize what the speaker is saying,voice_summary
76,what does the audio talk about,voice_summary
77,provide a summary of the voice file contents,voice_summary
78,explain what is being discussed in the audio,voice_summary
79,give a short summary of what this recording says,voice_summary
80,could you tell me what this audio is saying,voice_summary
81,whats this recording all about,voice_summary
82,just give me the highlights from this voice note,voice_summary
83,quick summary of this voice file please,voice_summary
84,tell me the important stuff from this audio,voice_summary
85,break down the content of this voice recording,voice_summary
86,help me understand the voice clip,voice_summary
87,can you extract the key message here,voice_summary
88,in short whats being said in the audio,voice_summary
89,summarize the message in this clip,voice_summary
90,give me the main message from this sound clip,voice_summary
91,i want a short version of this voice message,voice_summary
92,just the summary from this audio please,voice_summary
93,please help me with a summary of this clip,voice_summary
94,what is the speaker talking about here,voice_summary
95,whats the core message of this voice file,voice_summary
96,condense this audio into a few points,voice_summary
97,summarize what im hearing in this recording,voice_summary
98,wrap up the content of this voice message,voice_summary
99,can you give a tldr of this recording,voice_summary
100,whats the summary of this talk,voice_summary
101,capture the main content from this voice file,voice_summary
102,explain this audio in simple terms,voice_summary
103,whats the narration about in this clip,voice_summary
104,id like a gist of what this recording says,voice_summary
105,tell me what this speaker is explaining,voice_summary
106,quick overview of this voice memo,voice_summary
107,whats this speaker talking about,voice_summary
108,could you wrap this audio up in a few words,voice_summary
109,break this down and tell me the main parts,voice_summary
110,give a quick explanation of this audio file,voice_summary
111,summarize this voice clip in one line,voice_summary
112,i need a short summary of the recording,voice_summary
113,break down the content of this audio,voice_summary
114,whats the speaker talking about in this file,voice_summary
115,give me the main highlights of this audio,voice_summary
116,can you summarize what was said in this recording,voice_summary
117,tell me what this audio is explaining,voice_summary
118,id like a summary of the voice message,voice_summary
119,provide a quick recap of this audio note,voice_summary
120,give an overview of the discussion in this audio,voice_summary
121,summarize the topic covered in this voice clip,voice_summary
122,give me a brief of whats in this audio,voice_summary
123,whats being said in this audio message,voice_summary
124,give me a voice summary from this file,voice_summary
125,whats this voice file all about,voice_summary
126,summarize the main ideas from the audio clip,voice_summary
127,explain what this voice note is talking about,voice_summary
128,whats the subject of this sound file,voice_summary
129,i want a summary of this audio,voice_summary
130,whats the voice file trying to convey,voice_summary
131,summarize what was discussed in this voice message,voice_summary
132,extract a summary from this audio clip,voice_summary
133,tell me what the person is saying in this voice note,voice_summary
134,get me the summary of this podcast audio,voice_summary
135,can you provide a concise summary of this audio,voice_summary
136,summarize this speech recording,voice_summary
137,tell me the essence of this voice clip,voice_summary
138,whats the short version of this recording,voice_summary
139,give a recap of this audio content,voice_summary
140,what is this person talking about,voice_summary
141,whats the main idea of this voice message,voice_summary
142,summarize the voice file in plain terms,voice_summary
143,provide a brief explanation of this audio,voice_summary
144,i just need the key points from this voice note,voice_summary
145,explain this audio in short,voice_summary
146,whats covered in this recording,voice_summary
147,give me a short interpretation of this voice memo,voice_summary
148,whats the central message of this audio,voice_summary
149,whats the overview of this speech clip,voice_summary
150,can you sum up this sound clip,voice_summary
151,whats the content of this voice file,voice_summary
152,tell me the main subject of the audio,voice_summary
153,get a voice summary from this uploaded audio,voice_summary
154,whats said in the uploaded voice clip,voice_summary
155,give a concise explanation of this spoken content,voice_summary
156,what information is shared in this voice recording,voice_summary
157,summarize this audio content quickly,voice_summary
158,whats the conclusion of this voice note,voice_summary
159,can i get a quick summary of whats said here,voice_summary
160,whats being conveyed in this audio file,voice_summary
161,can you tell me the main idea in this voice message,voice_summary
162,id like a short summary of this voice clip,voice_summary
163,please interpret the audio and summarize it,voice_summary
164,can you break down this speech into key points,voice_summary
165,whats this voice message saying in brief,voice_summary
166,please extract the essence of the audio,voice_summary
167,give me the outline of this voice recording,voice_summary
168,help me understand what this person is talking about,voice_summary
169,whats the general topic in this audio clip,voice_summary
170,summarize whats discussed in the recording,voice_summary
171,tell me whats important in this sound clip,voice_summary
172,can you summarize this voice for me,voice_summary
173,let me know what this audio is about,voice_summary
174,give a short explanation of the voice clip,voice_summary
175,could you summarize the ideas expressed in this clip,voice_summary
176,break this recording into key ideas,voice_summary
177,tell me whats happening in this audio,voice_summary
178,i want the short version of this audios content,voice_summary
179,could you quickly tell me what this audio says,voice_summary
180,please give the key points of this voice file,voice_summary
181,i need a concise summary of this voice memo,voice_summary
