,text,intent
0,Summarize these notes for me,make_notes
1,Please make notes from this image,make_notes
2,Can you extract notes from this handwriting?,make_notes
3,Convert this photo into neat notes,make_notes
4,Create study notes from this page,make_notes
5,I need a summary of these handwritten notes,make_notes
6,Turn this picture into organized notes,make_notes
7,Can you write notes from this scan?,make_notes
8,Generate clean notes from this image,make_notes
9,Summarize what's written here,make_notes
10,OCR and make notes from this document,make_notes
11,Extract text and make proper notes,make_notes
12,Write a summary of these notes,make_notes
13,Turn this document image into readable notes,make_notes
14,Analyze this photo and generate notes,make_notes
15,Make proper formatted notes from this,make_notes
16,Clean and summarize these notes,make_notes
17,Get notes out of this handwriting,make_notes
18,"Hey GPT, summarize this for me",make_notes
19,Transform this pic into digital notes,make_notes
20,Can you convert this into a clean note format?,make_notes
21,I'd like to make notes from this image,make_notes
22,Generate quick notes from this scan,make_notes
23,Can you summarize these paragraphs?,make_notes
24,Summarize this and format it as notes,make_notes
25,"From this image, make a bullet-point summary",make_notes
26,OCR and summarize the content,make_notes
27,Make digital notes from this rough page,make_notes
28,Turn this into properly formatted notes,make_notes
29,Please generate clean study notes,make_notes
30,Extract information and make notes,make_notes
31,Can you clean this up and give notes?,make_notes
32,Turn this page into a summarized note,make_notes
33,Can I get a summary from this paper?,make_notes
34,Make a structured summary out of this,make_notes
35,Analyze this content and make notes,make_notes
36,I'd like a summary of this handwritten material,make_notes
37,Take this scan and make nice notes,make_notes
38,Process this image and write short notes,make_notes
39,Make concise notes from this image,make_notes
40,Generate clear points from this image,make_notes
41,Can you summarize this handwritten text?,make_notes
42,Please format this into lecture notes,make_notes
43,Give me the points from this content,make_notes
44,Create notes out of this content,make_notes
45,Summarize this image using OCR,make_notes
46,Take this input and create notes,make_notes
47,Summarize and organize this writing,make_notes
48,Generate highlights from this text image,make_notes
49,Can you make study notes from this?,make_notes
50,Convert this image text to summarized points,make_notes
51,Can you generate notes from this?,make_notes
52,Please summarize the content of this image,make_notes
53,I need a short version of this text,make_notes
54,Turn this page into notes,make_notes
55,Make short notes out of this image,make_notes
56,Generate points from this document,make_notes
57,What are the key points from this?,make_notes
58,Create summary notes for this content,make_notes
59,Read this and make notes,make_notes
60,Please condense this into bullet points,make_notes
61,Convert this text into note format,make_notes
62,Extract highlights from this,make_notes
63,Note down the important parts,make_notes
64,Summarize what's written here,make_notes
65,Give me a quick summary of this,make_notes
66,Make study notes from this,make_notes
67,Break this down into notes,make_notes
68,Scan this and give me notes,make_notes
69,Turn this into a summary for revision,make_notes
70,Pick out important details from this,make_notes
71,I want notes for this topic,make_notes
72,Help me convert this into a notes format,make_notes
73,Extract useful points from this page,make_notes
74,Get me a summary based on this image,make_notes
75,Create concise notes from this input,make_notes
76,Take this and make it into study notes,make_notes
77,Give an overview of the content here,make_notes
78,Give me main points from this document,make_notes
79,Can you extract notes from the uploaded file?,make_notes
80,Need a short note on this content,make_notes
81,Summarize the image text into notes,make_notes
82,Give me a list of main points from this image,make_notes
83,Help summarize this paper,make_notes
84,Make notes from this screenshot,make_notes
85,Simplify and summarize this document,make_notes
86,I need help converting this into note form,make_notes
87,Get me the core ideas from this,make_notes
88,Turn these paragraphs into notes,make_notes
89,Give me condensed notes for this,make_notes
90,Extract and organize key information from this,make_notes
91,List out all key points mentioned here,make_notes
92,Give a note summary of the below content,make_notes
93,Generate summarized version of this,make_notes
94,Make crisp notes from the below data,make_notes
95,Analyze and return the notes,make_notes
96,Extract notes from scanned file,make_notes
97,Parse this image and create a note,make_notes
98,What are the main takeaways from this?,make_notes
99,Turn this educational content into notes,make_notes
100,Transform this into revision notes,make_notes
101,hey get notes from image from this,make_notes
102,will you create notes using OCR,make_notes
103,hey summarize this ASAP,make_notes
104,will you create notes .,make_notes
105,can you convert image to notes from this image,make_notes
106,will you make notes quickly,make_notes
107,please extract notes using OCR,make_notes
108,would you kindly convert image to notes .,make_notes
109,can u make notes for me,make_notes
110,will you extract notes from this image,make_notes
111,could you get notes from image using OCR,make_notes
112,will you create notes from this image,make_notes
113,convert image to notes from scanned image,make_notes
114,I'd like to make a summary quickly,make_notes
115,I want to convert image to notes using OCR,make_notes
116,can I summarize this image .,make_notes
117,can I make a summary from this,make_notes
118,hey create notes quickly,make_notes
119,hey summarize this for me,make_notes
120,please extract notes now,make_notes
121,can u make a summary from picture,make_notes
122,would you kindly extract notes now,make_notes
123,could you summarize this for me,make_notes
124,can I get notes from image from scanned image,make_notes
125,generate notes for me,make_notes
126,I'd like to generate summary ASAP,make_notes
127,could you make notes from photo,make_notes
128,can I create notes from picture,make_notes
129,would you kindly get notes from image from this image,make_notes
130,will you make notes quickly,make_notes
131,I'd like to make a summary for me,make_notes
132,I want to convert image to notes from picture,make_notes
133,could you get notes from image quickly,make_notes
134,I want to get notes from image from picture,make_notes
135,can you summarize this from this image,make_notes
136,will you make notes ASAP,make_notes
137,would you kindly generate summary from photo,make_notes
138,can u summarize this now,make_notes
139,can u make a summary quickly,make_notes
140,would you kindly generate summary from picture,make_notes
141,can you extract notes .,make_notes
142,can u create notes ASAP,make_notes
143,can I extract notes using OCR,make_notes
144,can you make a summary now,make_notes
145,can you make notes quickly,make_notes
146,would you kindly get notes from image quickly,make_notes
147,can you summarize this image from picture,make_notes
148,can u summarize this from this,make_notes
149,will you generate notes from this,make_notes
150,I'd like to create notes from this,make_notes
151,will you make notes using OCR,make_notes
152,please summarize this automatically,make_notes
153,please make notes from picture,make_notes
154,could you generate summary from photo,make_notes
155,will you create notes now,make_notes
156,will you summarize this from photo,make_notes
157,can I generate summary from this image,make_notes
158,hey summarize this image,make_notes
