,text,intent
0,summarize these notes for me,make_notes
1,please make notes from this image,make_notes
2,can you extract notes from this handwriting,make_notes
3,convert this photo into neat notes,make_notes
4,create study notes from this page,make_notes
5,i need a summary of these handwritten notes,make_notes
6,turn this picture into organized notes,make_notes
7,can you write notes from this scan,make_notes
8,generate clean notes from this image,make_notes
9,summarize whats written here,make_notes
10,ocr and make notes from this document,make_notes
11,extract text and make proper notes,make_notes
12,write a summary of these notes,make_notes
13,turn this document image into readable notes,make_notes
14,analyze this photo and generate notes,make_notes
15,make proper formatted notes from this,make_notes
16,clean and summarize these notes,make_notes
17,get notes out of this handwriting,make_notes
18,hey gpt summarize this for me,make_notes
19,transform this pic into digital notes,make_notes
20,can you convert this into a clean note format,make_notes
21,id like to make notes from this image,make_notes
22,generate quick notes from this scan,make_notes
23,can you summarize these paragraphs,make_notes
24,summarize this and format it as notes,make_notes
25,from this image make a bulletpoint summary,make_notes
26,ocr and summarize the content,make_notes
27,make digital notes from this rough page,make_notes
28,turn this into properly formatted notes,make_notes
29,please generate clean study notes,make_notes
30,extract information and make notes,make_notes
31,can you clean this up and give notes,make_notes
32,turn this page into a summarized note,make_notes
33,can i get a summary from this paper,make_notes
34,make a structured summary out of this,make_notes
35,analyze this content and make notes,make_notes
36,id like a summary of this handwritten material,make_notes
37,take this scan and make nice notes,make_notes
38,process this image and write short notes,make_notes
39,make concise notes from this image,make_notes
40,generate clear points from this image,make_notes
41,can you summarize this handwritten text,make_notes
42,please format this into lecture notes,make_notes
43,give me the points from this content,make_notes
44,create notes out of this content,make_notes
45,summarize this image using ocr,make_notes
46,take this input and create notes,make_notes
47,summarize and organize this writing,make_notes
48,generate highlights from this text image,make_notes
49,can you make study notes from this,make_notes
50,convert this image text to summarized points,make_notes
51,can you generate notes from this,make_notes
52,please summarize the content of this image,make_notes
53,i need a short version of this text,make_notes
54,turn this page into notes,make_notes
55,make short notes out of this image,make_notes
56,generate points from this document,make_notes
57,what are the key points from this,make_notes
58,create summary notes for this content,make_notes
59,read this and make notes,make_notes
60,please condense this into bullet points,make_notes
61,convert this text into note format,make_notes
62,extract highlights from this,make_notes
63,note down the important parts,make_notes
65,give me a quick summary of this,make_notes
66,make study notes from this,make_notes
67,break this down into notes,make_notes
68,scan this and give me notes,make_notes
69,turn this into a summary for revision,make_notes
70,pick out important details from this,make_notes
71,i want notes for this topic,make_notes
72,help me convert this into a notes format,make_notes
73,extract useful points from this page,make_notes
74,get me a summary based on this image,make_notes
75,create concise notes from this input,make_notes
76,take this and make it into study notes,make_notes
77,give an overview of the content here,make_notes
78,give me main points from this document,make_notes
79,can you extract notes from the uploaded file,make_notes
80,need a short note on this content,make_notes
81,summarize the image text into notes,make_notes
82,give me a list of main points from this image,make_notes
83,help summarize this paper,make_notes
84,make notes from this screenshot,make_notes
85,simplify and summarize this document,make_notes
86,i need help converting this into note form,make_notes
87,get me the core ideas from this,make_notes
88,turn these paragraphs into notes,make_notes
89,give me condensed notes for this,make_notes
90,extract and organize key information from this,make_notes
91,list out all key points mentioned here,make_notes
92,give a note summary of the below content,make_notes
93,generate summarized version of this,make_notes
94,make crisp notes from the below data,make_notes
95,analyze and return the notes,make_notes
96,extract notes from scanned file,make_notes
97,parse this image and create a note,make_notes
98,what are the main takeaways from this,make_notes
99,turn this educational content into notes,make_notes
100,transform this into revision notes,make_notes
101,will you create notes from scanned image,make_notes
102,generate notes for me,make_notes
103,i want to generate summary from scanned image,make_notes
104,can u generate summary for me,make_notes
105,can u convert image to notes from scanned image,make_notes
106,id like to get notes from image,make_notes
107,can i convert image to notes for me,make_notes
108,i want to summarize this quickly,make_notes
109,please get notes from image from this image,make_notes
110,hey generate summary quickly,make_notes
111,would you kindly make notes from photo,make_notes
112,summarize this image,make_notes
113,can u create notes from photo,make_notes
114,can i summarize this image,make_notes
115,will you summarize this from picture,make_notes
116,will you convert image to notes quickly,make_notes
117,hey get notes from image quickly,make_notes
118,would you kindly convert image to notes asap,make_notes
119,please extract notes,make_notes
120,can i get notes from image from photo,make_notes
121,would you kindly summarize this from this,make_notes
122,can you extract notes automatically,make_notes
123,could you convert image to notes for me,make_notes
124,get notes from image using ocr,make_notes
125,could you extract notes from scanned image,make_notes
126,will you make notes from this,make_notes
127,extract notes now,make_notes
128,can you summarize this image from this,make_notes
129,can i summarize this,make_notes
130,i want to extract notes quickly,make_notes
131,can you generate summary asap,make_notes
133,extract notes,make_notes
134,hey generate notes,make_notes
135,would you kindly extract notes using ocr,make_notes
136,could you get notes from image now,make_notes
137,id like to make notes quickly,make_notes
138,could you make notes,make_notes
139,extract notes from this,make_notes
140,will you convert image to notes,make_notes
141,can i summarize this from picture,make_notes
143,please make a summary from photo,make_notes
144,would you kindly generate notes now,make_notes
146,get notes from image asap,make_notes
147,would you kindly convert image to notes,make_notes
148,could you make a summary for me,make_notes
149,convert image to notes automatically,make_notes
150,please convert image to notes now,make_notes
151,will you convert image to notes for me,make_notes
152,could you make notes from scanned image,make_notes
153,can i make notes now,make_notes
154,hey create notes automatically,make_notes
155,i want to convert image to notes asap,make_notes
156,make notes using ocr,make_notes
157,can you convert image to notes quickly,make_notes
158,please create notes from photo,make_notes
159,can u make notes automatically,make_notes
160,id like to convert image to notes from photo,make_notes
162,can i make notes,make_notes
163,would you kindly make notes automatically,make_notes
164,hey convert image to notes,make_notes
165,can u summarize this now,make_notes
166,would you kindly get notes from image using ocr,make_notes
167,can u convert image to notes automatically,make_notes
168,id like to generate summary using ocr,make_notes
169,could you create notes,make_notes
170,can you extract notes,make_notes
171,hey summarize this,make_notes
