text,intent
Summarize these notes for me,make_notes
Please make notes from this image,make_notes
Can you extract notes from this handwriting?,make_notes
Convert this photo into neat notes,make_notes
Create study notes from this page,make_notes
I need a summary of these handwritten notes,make_notes
Turn this picture into organized notes,make_notes
Can you write notes from this scan?,make_notes
Generate clean notes from this image,make_notes
Summarize what's written here,make_notes
OCR and make notes from this document,make_notes
Extract text and make proper notes,make_notes
Write a summary of these notes,make_notes
Turn this document image into readable notes,make_notes
Analyze this photo and generate notes,make_notes
Make proper formatted notes from this,make_notes
Clean and summarize these notes,make_notes
Get notes out of this handwriting,make_notes
"Hey GPT, summarize this for me",make_notes
Transform this pic into digital notes,make_notes
Can you convert this into a clean note format?,make_notes
I'd like to make notes from this image,make_notes
Generate quick notes from this scan,make_notes
Can you summarize these paragraphs?,make_notes
Summarize this and format it as notes,make_notes
"From this image, make a bullet-point summary",make_notes
OCR and summarize the content,make_notes
Make digital notes from this rough page,make_notes
Turn this into properly formatted notes,make_notes
Please generate clean study notes,make_notes
Extract information and make notes,make_notes
Can you clean this up and give notes?,make_notes
Turn this page into a summarized note,make_notes
Can I get a summary from this paper?,make_notes
Make a structured summary out of this,make_notes
Analyze this content and make notes,make_notes
I'd like a summary of this handwritten material,make_notes
Take this scan and make nice notes,make_notes
Process this image and write short notes,make_notes
Make concise notes from this image,make_notes
Generate clear points from this image,make_notes
Can you summarize this handwritten text?,make_notes
Please format this into lecture notes,make_notes
Give me the points from this content,make_notes
Create notes out of this content,make_notes
Summarize this image using OCR,make_notes
Take this input and create notes,make_notes
Summarize and organize this writing,make_notes
Generate highlights from this text image,make_notes
Can you make study notes from this?,make_notes
Convert this image text to summarized points,make_notes
Can you generate notes from this?,make_notes
Please summarize the content of this image,make_notes
I need a short version of this text,make_notes
Turn this page into notes,make_notes
Make short notes out of this image,make_notes
Generate points from this document,make_notes
What are the key points from this?,make_notes
Create summary notes for this content,make_notes
Read this and make notes,make_notes
Please condense this into bullet points,make_notes
Convert this text into note format,make_notes
Extract highlights from this,make_notes
Note down the important parts,make_notes
Summarize what's written here,make_notes
Give me a quick summary of this,make_notes
Make study notes from this,make_notes
Break this down into notes,make_notes
Scan this and give me notes,make_notes
Turn this into a summary for revision,make_notes
Pick out important details from this,make_notes
I want notes for this topic,make_notes
Help me convert this into a notes format,make_notes
Extract useful points from this page,make_notes
Get me a summary based on this image,make_notes
Create concise notes from this input,make_notes
Take this and make it into study notes,make_notes
Give an overview of the content here,make_notes
Give me main points from this document,make_notes
Can you extract notes from the uploaded file?,make_notes
Need a short note on this content,make_notes
Summarize the image text into notes,make_notes
Give me a list of main points from this image,make_notes
Help summarize this paper,make_notes
Make notes from this screenshot,make_notes
Simplify and summarize this document,make_notes
I need help converting this into note form,make_notes
Get me the core ideas from this,make_notes
Turn these paragraphs into notes,make_notes
Give me condensed notes for this,make_notes
Extract and organize key information from this,make_notes
List out all key points mentioned here,make_notes
Give a note summary of the below content,make_notes
Generate summarized version of this,make_notes
Make crisp notes from the below data,make_notes
Analyze and return the notes,make_notes
Extract notes from scanned file,make_notes
Parse this image and create a note,make_notes
What are the main takeaways from this?,make_notes
