text,intent
Show me the last 5 emails,gmail_operations
Get 10 recent messages from my reception box,gmail_operations
Give me my last 3 letters,gmail_operations
Recover the latest emails,gmail_operations
Show recent letters,gmail_operations
Show e-mails from hr@xyz.com,gmail_operations
Reply to emails sent by Flipkart,gmail_operations
Get messages from John Doe,gmail_operations
Show me emails from my manager,gmail_operations
Find letters at noreply@cdac.in,gmail_operations
Show unrelated emails,gmail_operations
Get all unread messages,gmail_operations
Show the emails I haven't seen,gmail_operations
Respond only to those not read,gmail_operations
What letters are not read?,gmail_operations
Show important emails,gmail_operations
Respond to stars,gmail_operations
Give me high priority messages,gmail_operations
Get my reported emails,gmail_operations
Important messages only,gmail_operations
Receive emails from the last 7 days,gmail_operations
Show emails between Monday and today,gmail_operations
Respond to messages from last week,gmail_operations
Show the January emails,gmail_operations
Give me emails yesterday,gmail_operations
"Receive e-mails labeled ""work""",gmail_operations
"Show messages under ""staff""",gmail_operations
Respond to letters in the update category,gmail_operations
Give me social label messages,gmail_operations
Find emails in the promotions tab,gmail_operations
"Show emails with a ""invoice"" containing subject",gmail_operations
Get emails with the “Offer” object line,gmail_operations
"Find messages where the subject includes ""payment""",gmail_operations
"Search for emails with the subject ""meeting""",gmail_operations
Filter the e-mails by keyword of 'Amazon',gmail_operations
Download the attachments from the last 2 letters,gmail_operations
Get files from my recent emails,gmail_operations
Find attached documents in messages,gmail_operations
Show emails with attachments,gmail_operations
List all recent attachments,gmail_operations
Summarize the last 3 emails from Flipkart,gmail_operations
Give a summary of today's emails,gmail_operations
Summarize my reception box,gmail_operations
What are the main ones?,gmail_operations
Brown me on the emails last week,gmail_operations
List the latest emails I received,gmail_operations
Can you show me my 8 most recent letters?,gmail_operations
I want to see the last 4 emails,gmail_operations
Last messages please,gmail_operations
Recover my last emails,gmail_operations
Show all Amazon messages,gmail_operations
My teacher's emails,gmail_operations
Can you receive messages by support@zomato.com?,gmail_operations
List all letters sent by my boss,gmail_operations
Pull Airtel's messages,gmail_operations
List new unrelated letters,gmail_operations
What messages have I not opened?,gmail_operations
An unread mail in my reception box?,gmail_operations
Non-read emails this week,gmail_operations
Are there not read?,gmail_operations
Show me only important emails,gmail_operations
Do I have messages played?,gmail_operations
List my important emails marked,gmail_operations
Respond to priority letters,gmail_operations
What are my reported emails?,gmail_operations
Mail received in the last 3 days,gmail_operations
Show emails between July 1 and 5,gmail_operations
Messages from the reception box for the last 24 hours,gmail_operations
Can I see June emails?,gmail_operations
"Filter by ""Finance"" label",gmail_operations
Show only emails marked at work,gmail_operations
"What do I have in the ""Updates"" tab?",gmail_operations
"E-mails marked as ""personal""",gmail_operations
"Get only ""travel"" category emails",gmail_operations
"E-mails on ""registration""?",gmail_operations
"Look for the object line for ""reception""",gmail_operations
"Emails where the subject has a ""notification""",gmail_operations
"Show me messages with ""results"" in the subject",gmail_operations
"Subject filter by keyword ""fresh""",gmail_operations
Download all attachments from today's letters,gmail_operations
List of attachments in recent emails,gmail_operations
Files received today?,gmail_operations
Show me emails that include attachments,gmail_operations
Get PDF files sent recently,gmail_operations
Give me a brief summary of today's emails,gmail_operations
Summarize all unrelated messages,gmail_operations
Quick summary of boss emails,gmail_operations
What is in my last 5 letters?,gmail_operations
Summate everything that has received this week,gmail_operations
Pull my last three emails,gmail_operations
Can I see the 10 most recent letters?,gmail_operations
List the last batch of emails,gmail_operations
What are my last messages?,gmail_operations
I want to check the previous emails I received,gmail_operations
Recover Linkedin emails,gmail_operations
Find all the messages from the bank,gmail_operations
Show e-mails sent by client.support@abc.com,gmail_operations
Do I have the mail of Ravi?,gmail_operations
Get all the Flipkart correspondence,gmail_operations
What emails I haven't read yet?,gmail_operations
New letters in my reception box?,gmail_operations
"E-mail not read only, please",gmail_operations
I want to see new unrelated messages,gmail_operations
Are there not open emails?,gmail_operations
Show high priority emails,gmail_operations
Show only conversations played,gmail_operations
Get marked and important emails,gmail_operations
What are my messages reported or starred?,gmail_operations
Important emails only,gmail_operations
Emails from last Monday to today,gmail_operations
Respond to letters I have this month,gmail_operations
Get messages between May 1 to May 10,gmail_operations
Pull yesterday emails,gmail_operations
What emails arrived this weekend?,gmail_operations
"Give me all ""official"" tagged emails",gmail_operations
"Find emails under the ""social"" label",gmail_operations
"Get messages classified as ""promotions""",gmail_operations
Recover only those labeled as `` job alerts '',gmail_operations
"Show me all emails with the ""Bills"" label",gmail_operations
"Look for letters where the subject contains an ""offer""",gmail_operations
"Search for subjects for the word ""project""",gmail_operations
"E-mails on ""Travel itinerary""",gmail_operations
"Find all the messages with an object line, including ""canceled""",gmail_operations
"The object line contains the word ""invoice""",gmail_operations
Messages with downloadable files?,gmail_operations
Restorate all emails with attached documents,gmail_operations
Find all the images or PDF sent recently,gmail_operations
Can I only display emails that have attachments?,gmail_operations
Can you give me a summary of unrelated messages?,gmail_operations
Summarize all of yesterday's emails,gmail_operations
What are the essentials of my last letters?,gmail_operations
I just need a memory of the reception box today,gmail_operations
Give me quick points of recent emails,gmail_operations
Show my two most recent emails,gmail_operations
Give me the last five messages,gmail_operations
Pull the previous few letters,gmail_operations
I would like to see the latest emails I received,gmail_operations
Access my last 3 letters,gmail_operations
Get emails sent by Amazon,gmail_operations
Messages from my teacher?,gmail_operations
Recover conversations at info@cdac.in,gmail_operations
Do I have Microsoft mail?,gmail_operations
